Question,Class
How do I approach teaching Python to 12-year-olds as a first-time teacher?,CS
How do you make your CS lectures more interesting?,CS
How to document the developed work using an agile methodology?,CS
Explaining how the Internet and the World Wide Web work,CS
"Uses of selection in programming  if, switch etc  with examples",CS
What are good models for a Tutorial System for lagging CS students?,CS
Working on practical projects as a team - good or bad?,CS
Evaluating resources for teaching myself reinforcement learning,CS
CS-oriented Ice-Breaker Games,CS
Jargon/Vocab about variables--- yes or no?,CS
Why would mutation be considered by some as a difficult concept to grasp?,CS
How can I make database normalization more clear?,CS
Ideas for introducing databases to Android development students,CS
Teaching syntactic sugar,CS
How to teach algorithms  implementation or application?,CS
Lab ideas for information theory,CS
What can the instructor do to overcome the Authenticity Bias in students?,CS
Differentiating Inclusive from Exclusive Or,CS
Dealing with students who are underly-motivated,CS
Curricular Support for a CyberPatriot Club,CS
Teaching when to use MyBlocks,CS
How to convey how much computing power has grown since the 1960s?,CS
Books that summarize pedagogical research within our field,CS
Learning fundamental differences between functional programming and Object Oriented Programming,CS
Strategies for self-learners to transition into working on larger projects,CS
"Good, Motivating Examples for Algorithmic Complexity",CS
What hardware can I use when teaching Compiler Language and Assembly Code,CS
What are some examples that could be used when teaching subroutines or methods in the context of OO?,CS
Students can solve programming exercises but not explain their solutions. What to do?,CS
How to effectively teach strings and string literal constants?,CS
How to teach Stack Overflow more efficiently?,CS
Introduction to programming class  use Spreadsheets to introduce fundamentals,CS
Course for the more practical aspects of software development,CS
Teaching a blind high school student,CS
How to teach beginning students how to find and fix syntax errors?,CS
Helping students adjust to using industrial-strength IDEs,CS
Does teaching an intro course with a functional language really help level the playing field?,CS
One lecture on VCS  What needs to be covered?,CS
Mini-Projects that can be covered in an 1 hour Haskell tutorial,CS
Functional Programming - using F sharp,CS
Teaching information security to students without basic IT knowledge,CS
Scheme - Which implementation to use for teaching,CS
How to motivate game design/development students to do more than the minimum on homework,CS
What does a certification program for CS high school teachers need to include?,CS
Teaching interaction design to potentially disinterested students,CS
Is there any value in teaching goto statement or flowcharts?,CS
Example for For vs While Loop  in Java ,CS
Teaching students that printf   is not the same as return using analogy,CS
Is it bad to introduce language features in ways that are different than they will be used in practice?,CS
Looking for software that would enable me to cast a screen over LAN,CS
What resources would you recommend for K-5 Computer Systems Concept of the CSTA K-12 Standards?,CS
Is there independent evidence that physical computing improves engagement,CS
How to handle objections to the wording of test questions or answers?,CS
Answering student questions as they work outside class,CS
"How to keep students heads from exploding from complex, interconnected topics",CS
Peanut Butter and Jelly Ending,CS
Real world example application built with Python and JavaScript?,CS
Encouraging Critical Thinking On Programs Before Students Write Them,CS
Easy on-boarding for grad students to lead outreach?,CS
Could physical  i.e. lego  models help teach CS?,CS
Is there some meaningful percentage of students who can t learn to program?,CS
"Encourging Growth mindset, in computing lesson",CS
"Make it easier, and quicker to get to the start",CS
What is the pedagogical value of Conway s Game of Life?,CS
Teaching intermediate Java to students familiar with C with analogy,CS
Clear example of the Object-Relational Mismatch,CS
Teaching NFAs after DFAs,CS
Engagement advice on Creative computing,CS
Search for a useful interactive programming environment,CS
Explaining the Value of Knowledge of Digital Logic,CS
Agile / SCRUM Course Structure  Downsides? Resources?,CS
 Franklin  Method for learning good programming?,CS
Resource recommendations for teaching OOP via a practice-oriented example real world example,CS
Quick and easy intro to computer science for kids for an Engineering Field Day,CS
Enjoyable and\or fun way to explain cmake,CS
What is a  simple definition of  a development environment? Using analogy,CS
Teaching C++ to students that know Java,CS
Using Oracle s Java Documentation as a Teaching Tool,CS
Teaching zip and range in Python 3,CS
Merits of teaching VCS as enrichment,CS
Programming language for teenagers,CS
Using questions from a code-competition website in homework and exams,CS
How to explain the concept of a variable to a 9-year old?,CS
Is there any pedagogically motivated reason to teach quadratic probing?,CS
How to teach image processing and computer graphics to a blind student?,CS
Order to teach looping constructs in a non ideal language,CS
How to START an Objects-First Course,CS
Is there evidence of differences in the outcomes of objects-early vs objects-late?,CS
What Notation for Teaching Boolean Logic?,CS
How widespread is the use of the PEP/8 assembly simulator in education?,CS
Explaining to students why to use double instead of float  unless there s a very good reason ,CS
Boolean Logic  How to Explain + as OR?,CS
App Lab/JS confusion between strings and variables,CS
NodeJS and Javascript libraries are overwhelming students,CS
How do you teach something when you don t know it yourself?,CS
How to help students comprehend the HTML document flow?,CS
How Effective Is  Rosetta Code  as a Teaching Technique?,CS
An exercise in utility,CS
"For a beginner, is it better to start with C or a higher level language?",CS
Resources for the Praxis CS Test,CS
Constructing a curriculum from multiple resources for complex subjects,CS
How to teach sums and asymptotics to students who don’t know limits,CS
"Research into the use of symbol names, in programming, and how it affects learning",CS
How to teach a person to enjoy programming?,CS
How can we best inform potential students of the nature of CS?,CS
What physical / unplugged examples can I use for public key/asymmetric encryption?,CS
What are the pedagogical methods for teaching programming?,CS
How can Chatbots be useful in CS education?,CS
How important is it that I know all of the words for the technical terms when mentoring in my second language?,CS
Teacher Community - Using CS50 for AP,CS
Why are pointers a key topic in a CS curriculum and oft cited as something people don t get?,CS
Why do we count starting from zero?,CS
How to convince students that self learning is an important skill?,CS
How to give students practice with streaming computation?,CS
Methods for engaging students when teaching unpopular or unfashionable topics,CS
"Python function has access to global variables, and doesn t need passed arguments",CS
Mental Model of Type Conformance/Subtype Polymorphism,CS
Explaining why arrays are important for statisticians,CS
Exercise or example to reinforce idea of functions?,CS
Teaching binary to 6-8 year olds,CS
Improve motivation in the final part of a project based course,CS
Making induction meaningful,CS
How can I set up and deliver a Computer Hardware Course for the first time?,CS
Do you know of a complete textbook for teaching databases?,CS
Any simple Python GUI projects for beginner/novice programming students?,CS
Quizzes after lectures,CS
What s a good unit testing assignment for Android?,CS
Using online courses instead of / in addition to traditional lecturing,CS
Examples of innocent looking faulty code for shock effect,CS
How do you teach Theory of Automata / Formal Language Theory / Computation Complexity?,CS
Teaching Revision  Change  Control Systems In High School CS Classes,CS
"What teaching techniques can be used, in teaching students from a medical background, to improve their programming?",CS
Pedagogical issues with Stack Implementation,CS
AP Computer Science Principles and Unity,CS
Should an educator define terms rigorously?,CS
How to make students confident enough to stop copying each other s code assignment?,CS
Is it a good idea to teach algorithm courses using pseudocode instead of a real programming language?,CS
Are there any resources out there to continue developing my students  programming skills after Code Combat,CS
Recent Graduate becomes a teacher,CS
Is it easy for professors to get academic versions of software from IBM?,CS
How can we determine which students are a good fit for an educational program?,CS
Framework vs Vanilla JS for students,CS
Why teach C using scanf without talking about command line arguments?,CS
What is the closest pair problem useful for?,CS
Open Source Training,CS
methods early in Java - before objects,CS
Teaching data structures with C++  should I go with smart instead of raw pointers?,CS
Teaching past the  symbology  of a language,CS
Fun way to teach algorithms,CS
What are some non-CS concepts that can be defined using BNF notation?,CS
Students  confusion over C structure members and structure variables,CS
Undergraduate Computer Science Projects real life,CS
How might I structure an assignment with two  levels ?,CS
"How to construct non computer-based, Paper Parsons Problem unplugged",CS
Languages class in high school,CS
How do you teach when your students have wildly different backgrounds?,CS
Is there a free platform to host coding challenges within a class?,CS
Debugging a submission that works well on student s computer but not on my computer,CS
What do programming novices need to know when using MatLab?,CS
"Looking for a simple, offline, portable, lightweight IDE for C++ with a compiler and debugger",CS
What language best prepares a high school student for a STEM undergraduate major?,CS
How do I teach problem solving and logical thinking to students of age group 12-18yrs through online session,CS
Are there any recommended tools for teaching syntax and grammar of programming languages?,CS
Teaching an absolute beginners class Operating Systems with Rust,CS
Is there a Java library for testing command line applications?,CS
Any good resource for introducing kids to programming using Python s Turtle Graphics?,CS
Grading source code in an online environment,CS
KANBAN materials,CS
Looking for a text book on object-oriented concepts and programming,CS
Ways to imagine a computer program for a student without photographic visualisation,CS
What would be a good project for teaching big program concepts?,CS
How useful is English  pseudocode and documentation  in aiding understanding?,CS
Feedback request  an assignment on programming a research paper,CS
Alternative to Piazza for online Q&A,CS
Why is computer science hard?,CS
"Teaching  2,3  and AVL Trees  information in internal nodes or in external nodes?",CS
Subtopics to cover within Karnaugh Maps,CS
Realistic task for teaching bit operations,CS
Common questions students may ask when they learn OOP?,CS
What are some fun projects for non-CS majors?,CS
How should Parsons Problems be graded?,CS
Is Cyber-Security E-safety or not,CS
Computer Graphics Textbook Recommendations,CS
"Resource recommendation for teaching the command line, file system for high school student",CS
Sources on the Topic Source Code Security/Authenticity,CS
What are some good conditional branching excercise scenarios?,CS
How to decide which methods are responsibility of which classes,CS
Regarding state diagrams -  different levels ,CS
How to teach programming to underprivilege kids who are not having access to laptop?,CS
Teaching with changing dependencies,CS
Practical assignments Hardware/Server projects,CS
What to tell students that plagiarised their programming assignment?,CS
Problems with students stuck in web-browser and what to do about it,CS
ML Andrew Ng course as practical university course,CS
What things aren t obvious about reading documentation? How can I explain to others how to do it?,CS
How to teach algorithms in an interactive way,CS
Redesigning a C++ Course,CS
Accounting and potential methods in amortized analysis,CS
"What is the technology  or combination of technologies  one would use to create slides, animations and live coding for lectures?",CS
How to approach students who submit their work which consists of frowned upon tools?,CS
Are there any tools for embedding editable code samples in Canvas?,CS
Private tutoring middle school and high school students  most common requests,CS
"The algebraic aspect of computation, or how to make them understand the usefulness and the meaning of variables",CS
Unplugged Project Idea,CS
Book / Course Teaching Basic Logic Circuits Via Minecraft Redstone To A Young Target Demographic,CS
How does the ability to solve a new problem come to a person?,CS
Is there an online drag-and-drop interactive sort simulator?,CS
Theory of Computing project topics,CS
Resource for short jQuery additions to websites,CS
Any experience/resources on teaching computer science theory with a practical approach?,CS
Teaching state transition diagrams to visually impaired  blind  students,CS
Big Data Analytics for Policy Making with No Math inside,CS
Non-native English speakers struggle to come up with decent variable names and function names,CS
What Informal Description Might Help Beginning Students Understand Python s `str.strip  ` method?,CS
"How would you define the word  render  in the vocabulary list, or define  render  for a text/exam, for a course on computer science?",CS
Use codewars in class,CS
How to teach hardware-software integration to new developers?,CS
"When teaching Java, should I teach try-catch from the outset?",CS
Coding exercises that test memory safety,CS
Teaching a coding language in an interactive way for a school club,CS
teaching javascript functions,CS
Reference Request  Study on the connection between Abstraction/Theory abilities and Software Engineering Skills,CS
Examples of very easy approximation algorithms,CS
Introduction to product type  motivation and examples,CS
"Navigating New Challenges in CS Education  AI, COVID, Motivations, Grades, Exercices... ",CS
How to present data structure concepts effectively to a blind student?,CS
Are jUnit or TestNG simple enough for undergraduates to apply in a matter of weeks? What alternative?,CS
In teaching introductory databases to graduates and undergraduates how would you differentiate in exams/assignments?,CS
Hands-on task to demystifying AI for high schooler,CS
Uncomputability and Uncountability,CS
Teaching Induction to Prove the Correctness of Algorithms,CS
Should the first Programming/Algorithms class be taught in pseudo-code?,CS
How can I convey the idea of a programming language vs. a markup language?,CS
"When teaching Web Development, should server or client side come first?",CS
Recommended IDE for teaching web development to beginners,CS
What are effective approaches for teaching dynamic programming?,CS
Should I teach modern web development in an introductory programming course? How?,CS
Scheme vs Haskell for introducing functional programming,CS
"How do you structure broad, open-ended, freely chosen projects so that students use class time wisely?",CS
What makes imperative programming easier or harder to learn?,CS
Assignments for Introductory Level Processing,CS
Teaching loop invariant choice,CS
How to respond when students ask  is recursion good practice ?,CS
Analogy for abstract classes,CS
How can I help my students to think algorithmically?,CS
Benefits of explaining low-level architecture in a programming class,CS
Introducing image processing - Should I teach the math,CS
How to stress the importance of testing code?,CS
Unit Review for boolean algebra,CS
Review of Information Theory Lab,CS
How do I teach git to a teenager,CS
How to teach students to work with multiple layers of abstraction?,CS
Effective ways of teaching regex to students who know Java,CS
Breaking down the operations when auto-casting gets complex,CS
How can I determine if a student would enjoy or has an aptitude for CS?,CS
How to explain combinatorical principles like the rule of product to students who  just don t get it ?,CS
How to answer  functional programming is useless ?,CS
LINQ to SQL alternative C# Visual Studio 2017 MVC,CS
Best Practices for introductory teaching,CS
"Teaching C#, Java, etc. to students who are bad at OOP",CS
Minecraft to teach programming?,CS
Introducing file systems to students who really don t understand,CS
Is it a good idea to have students see syntax much earlier than they write it themselves?,CS
Gifted Student Presentations,CS
How do I convince students to use Boolean algebra?,CS
Teaching students how to construct regular expressions  and other  translation  style problems ,CS
"Conflicting meaning, between exam board / teaching resources, and technical meaning",CS
"Reducing bias, from lesson that improves, as taught to a number of classes",CS
How do you teach Big O to high schoolers with varying degrees of math exposure?,CS
Use of programming aptitude test in CS program admission,CS
Difficulty of algorithms homework problems,CS
First project in my second year data structures intro,CS
"Why some students think that programming is difficult and hard to learn, how I convince my students that programming is not difficult as they think?",CS
Students seem to be unable to use code to express their ideas. Is the teaching methodology improvable?,CS
how to motivate student that programming will give bright future to them?,CS
Physical Activity for Objects,CS
Tools for running classes remotely,CS
"Training students to give better feedback, when remote teaching due to pandemic",CS
"Student not understanding explanation the 1st, 2nd... and 8th time",CS
First Time Learning Non-Linear Data Structures,CS
Object patterns student presentation format,CS
How can I incentivize students to test their applications with end users?,CS
Is there an array-like data type in Java that can cope with generic types better than the built-in array?,CS
Ideas for exercise in parsing and compilers?,CS
How can I teach Functional Programming and Verification,CS
How does one create a balanced AI curriculum in light of the popularity of Deep Learning?,CS
How does Project Euler come up with such good problems so rapidly?,maths
Erasing students  work - etiquette/guidelines?,maths
What did math educators think about the transition to widespread classroom use of calculators?,maths
Dissemination of mistakes in international texts such as the IGCSE,maths
Odd or Even-Numbered Answers in Textbooks,maths
Math topics that reward going beyond cookbook methods,maths
What are the best places online where math educators can discuss their experience?,maths
Effective computer lab layouts for a university math class,maths
Is there a way to report errors in K-12 textbooks?,maths
Why don t textbooks foreground marginally generalized theorems?,maths
Ought color be used more in math?,maths
 Basic ideas  as a concept in teaching maths?,maths
"One course/subject, one class, two lecturers",maths
Has Benezet s teaching experiment ever been reproduced?,maths
Measure of Improvement in Math Skills from Remediation with ALEKS,maths
How to deal with students who object to me teaching material that won t be in the exam?,maths
How to prepare for lecturing in a non-fluent foreign language?,maths
Studies about group tutoring sessions,maths
When should students stop receiving tutoring for mathematics?,maths
How to overcome the frustration in teaching and doing research at the same time,maths
Is there research on the efficacy of taking good notes in math class?,maths
How do you attract more math majors at a liberal arts college math department?,maths
How do I convince my teachers that a book on maths must focus on conceptual understanding?,maths
Patterns that unexpectedly fall apart at large n,maths
Is there research to back up the claim that math classes help develop analytical skills?,maths
What is a good place for teachers to share self-created content?,maths
Is playing and teaching chess appropriate in private lessons?,maths
Why are most college level math textbooks black and white only?,maths
How to be a good math teacher at a liberal art college?,maths
What is the purpose of  instant  tutoring?,maths
Policies and practices for supporting students in crisis,maths
Why is a Calculus III student more likely to solve this problem?,maths
How to keep your hands clean while using a blackboard?,maths
Should math for elementary teachers content be taught under the direction of the math department?,maths
Studies on the effects of using online platforms in teaching mathematics on students  beliefs about mathematics,maths
"If a student earns a non-ABET accredited engineering degree, when can they take the FE or PE exam?",maths
highschool s mathematics journal which citable in Google Scholar,maths
Loaning students calculators during exams,maths
Strategies for Designing Challenging Yet Feasible Quiz Problems for Upper-Level Math Courses,maths
Problems Without Posting Available Solutions,maths
 Always/Sometimes/Never  vs.  True/False  questions for mathematical reasoning,maths
Are questions on overlapping solids of revolutions without prior definitions and instructions fair given that there are divided interpretations?,maths
What is the notation for polynomial long division in Norway?,maths
What s the most practical and efficient way to sort exams on paper?,maths
How to improve atmosphere in male-dominated courses,maths
What are the fundamentals of writing practice questions for early teen students?,maths
Solvability of Systems of Diophantine Equations using Modular Reasoning,maths
Good Textbook for combined Beginning and Intermediate Algebra Course,maths
 Sigma Notation  vs.  Summation Notation ,maths
Names for laws involving implication and/or exponentiation,maths
Resources for Inquiry-based Projects with Undergraduates,maths
 A  or  The  Cartesian plane?,maths
Number theory for self-study students  books and computer languages,maths
Applying inverse trigonometric functions,maths
Using Substitution in place of the balance model,maths
topics for an undergraduate Math seminar,maths
Should I teach a subject I don t like?,maths
Animation of graphing a function,maths
Motivation in School,maths
What is currently called geometry in high school?,maths
"How are students messing up in this Khan Academy surface area problem?  right triangular prism  3-4-5 triangular base, height of 11 ",maths
Project Based Learning  PBL  ideas for secondary math topics,maths
"Which mental model, Webb s DoK, CCSM s Aspects of Rigor, or Bloom s Taxonomy, is most useful?",maths
How to teach to draw graphs of quadratic equations without knowing calculus?,maths
 Good  and  Bad  student intuitions when teaching and learning mathematics,maths
Student Conjectures without Oracular Professor,maths
What is the pedagogical justification and history for using mnemonics to teach order of operations?,maths
"Why do some of my, usually international/Indian students, write limits to the left of the integral?",maths
What are the  best  groups to use as examples while learning new concepts in algebra?,maths
Greatest common divisor applications,maths
Literature on student understanding of assumptions,maths
Moving from discrete probability distributions to continuous ones,maths
Tips for Teaching Math in a Language Foreign to the Teacher,maths
Grating mathematical phrases---How to correct?,maths
Styles of visualization in geometry,maths
Has anybody used Mathematics in Civilization by Resnikoff and Wells or Journey through Genius by Dunham for a history of math class?,maths
Where can I find a comparison of mathematical subjects taught for primary and secondary school around the world?,maths
Do electronic calculators inhibit mathematical thinking?,maths
Mindless use of  antisimplifications  such as 1/x+1/y= x+y /xy1/x+1/y= x+y /xy and 1/2–?=2–?/2,maths
Looking for a  Stable  College Algebra Textbook,maths
Good Examples of Questions to have Students Ponder Over Without Paper,maths
Notebook software for exploring integral approximation with finite sums?,maths
Resources for undergraduate knot theory,maths
Introducing the concept of variables to kids using analogy,maths
Common misconceptions in high school probability curriculum,maths
How to best explain that the sum of conditional probabilities still sum to 1,maths
How to introduce Wilson s Theorem?,maths
"Apply the inverse operation on both sides, or know the inverse function?",maths
Is it a good idea to have one or two or three classes on basic logic before teaching ??-?? in Calculus?,maths
Memorizing Trig Identities,maths
Examples showing necessity and advantage of emperical definition of probability,maths
How can I explain ratio problems without talking about ratio?,maths
Do  gateway tests  work?,maths
Is there a simple real-world problem I can use to motivate a formula for ?i=1ni?i=1ni?,maths
Calculus 3 Teaching Demonstration for Community College Teaching Position,maths
Standardized Exam for Statistics?,maths
Wording VS mathematical notations,maths
How to keep passion in students?,maths
How to teach mass center for young people,maths
Which calculus textbook is aligned the most with the CollegeBoard course description?,maths
What s the best way to explain multivariable limit problems to students who are not familiar with ?????? proofs?,maths
What is the difference between  numeracy  and  number sense ?,maths
How can I deal with the time pressure of teaching a short course?,maths
Arguments against multiplication by  stacking ,maths
Multiplying two decimals using  camouflaged  binary representation,maths
What do the Common Core Standards expect secondary students to learn about logarithms or the number ee?,maths
"Why should kids learn how to use a compass and straightedge, and not rely on a drawing program?",maths
Textbook search  learning the math required to read the newspaper,maths
what is the standard subdivision or classification of calculus related rates problems?,maths
What are good solar eclipse questions/projects for students?,maths
How much credit to give a short exam question with one error?,maths
Chat software for  online office hours ,maths
What is the ULTIMATE Calculus syllabus,maths
How much credit for a single arithmetic mistake?,maths
Easy and good book on combinatorial problems,maths
"When are arithmetic operator priorities typically taught in school, in relation to computer programming?",maths
Can number theory help me create equations with nice solutions?,maths
May we permit identities to be established by equivalent equations?,maths
The Order in Which Arithmetic Operators are Taught,maths
The use of software to formulate problems in multivariable calculus,maths
Mathematics Self-Efficacy Questionnaire,maths
Activities for biology undergraduates taking integral calculus,maths
Should I change my take-home exam policy because of one suspected cheater?,maths
Quantifying arthmetical skill,maths
Are document cameras widely used at college level?,maths
Tutoring Mathematics at University,maths
Is there a base-independent term for numbers written out with decimal/binary points?,maths
"Shanghai math -- what is it, and how good is it?",maths
How to effectively use colors on a whiteboard?,maths
How to use these actions words for subtraction?,maths
What s the word for addition and subtraction without borrowing or carrying over?,maths
"Functions, Domains, and Ranges in Precalculus",maths
Definition of root of equation/expression,maths
Simple real world examples that violate group axioms,maths
Electronic devices to replace pencil and paper,maths
Are Proficiency Strands Hierarchical?,maths
"As it is appears here, how many constants do you see in 2x3+y4=5–?2x3+y4=5?",maths
Resources for high school teachers about APOS theory,maths
Why are m and b used in the slope-intercept equation of a line?,maths
"Interesting math lesson on integers, Euclid s Elements, polyhedra, prime numbers, non-Euclidean geometry, arithmetic functions or graphs",maths
Content for a two-quarter class on abstract algebra,maths
Terminology  degree of coefficient?,maths
Recommendation for an introductory operations research book,maths
How to become a good teacher in the classroom when first starting to teach?,maths
Why do we teach even and odd functions?,maths
Introduction of the power set as a collection of *labels* or *names* for subsets,maths
Assigning TA hours  Professional software implementing Student-project allocation with preferences algorithms,maths
Determining the first digit of the Quotient using hand long division efficiently?,maths
Application of perpendicular lines real world,maths
Explaining genus to students,maths
Can t use samsung tablet in class?,maths
Software and techniques for creating short maths animation videos for kids,maths
Continuous evaluation/Participation points,maths
Why bother calculating the inverse of 3 by 3 matrix?,maths
The sequence of chapters,maths
A question about Vector Analysis problems,maths
Should we finish algebra before starting geometry?,maths
Text book on real analysis for undergrad in statistics,maths
When analytic form of derivatives is preferred over numerical form?,maths
Advice for Community College Interview Statistics Demonstration,maths
Using number theory instead geometry to introduce proof in Basic School?,maths
How cheating on homework affects student questions,maths
"How About MCQs, True/False, and Fill-In-The-Blank Questions in Undergrad-Level Topology, Analysis, And Abstract Algebra Exams?",maths
Monodromy examples for undergraduates,maths
Examples of basic non-commutative rings,maths
Is there any difference between saying that say ??3.14??3.14 and ?=3.14 2dp ?=3.14 2dp ?,maths
Reference or term for connected sage-on-the-stage?,maths
"Alternative ways of thinking about the one-variable Riemann integral for elementary calculus,",maths
How to teach multiplication between integers for the first time,maths
Are there any good exercises on point-slope form of a linear equation by itself?,maths
How can I get a better result making math videos with a tablet?,maths
Book request  teaching proving and reasoning at an American university,maths
How to design multiple choice questions,maths
"When discussing inverse functions, how can our notation and methods reinforce student understanding?",maths
Tutoring Discrete Mathematics,maths
How to teach abstract algebra for the first time?,maths
Writing Fractions  Correctly ,maths
Ideas for a 2 weeks project focused in polynomial functions,maths
Searching activities with  Find the error  strategy for learning maths,maths
Why isn t the term *inequation* widely used in English?,maths
Should basic exercises be solved before formulas are introduced?,maths
Applications of notable points and lines of a triangle,maths
L Hopital s Rule  Why do we need it?,maths
Why teach reference angles?,maths
How to teach sum of fractions to students?,maths
Material on tutoring university level math classes,maths
 Personalized System of Instruction   PSI  vs.  Individually Prescribed Instruction   IPI ,maths
What is known about discrimination and difficulty in test questions?,maths
Tasks that encourage argumentation,maths
Is the Nomenclature of Triangle Congruency Proofs Consistent?,maths
Deriving Jerk Equations without using Calculus,maths
Teaching the proper syntax of “such that”,maths
Are students being adversely affected by cranks or trolls in online math forums?,maths
Why do we teach estimation in Statistics and Mathematics?,maths
Should I tell my students that math is hard for me?,maths
Phone app or webpage to link HS students to free math tutor?,maths
Is Lax s Linear Algebra and its Applications comprehensive or idiosyncratic?,maths
What to teach in a class of 45 minutes about the mean value theorem,maths
Might it be helpful for students to have different symbols for subtraction  -  and negation   _  ?,maths
App to show exercises solved by students in real time,maths
Resource to supplement to Euclid s Elements,maths
Real-world Markov chains,maths
Cognitive demands of a mathematical task,maths
Teaching undergraduates who expect a high-school-like learning environment,maths
books to teach K-12 math/science via real-world approach?,maths
Grading a limit problem,maths
Making solutions to all problems freely available,maths
What are the minimum criteria when checking homework for completion only?,maths
real world Situation involving the application of addition or subtraction of algebraic fraction,maths
How should a student s inefficient calculation be pointed out?,maths
teach that 1010 not defined properly,maths
Can some lovers of math truly never create something previously unseen?,maths
Framework for Compound Inequalities,maths
How to write proofs on the board in the classroom,maths
Teacher resources on abacus for elementary school children,maths
The Way We Teach Square Roots,maths
Integration by substitution not using letter u,maths
Ordered checklist for learning Mathematics for Data Science,maths
Polymorphic functions in vector calculus,maths
Should Measurement of Angles Using Degree  and perhaps Common Logarithm as well  be Avoided in Pre-Calculus?,maths
Books and worksheets on symmetry,maths
What software tools allow an educator to display slides but also draw on the slides like MS Paint?,maths
How much prior math should I review in teaching a graduate-level course?,maths
Which book to use concurrently with each of these mathematics texts?,maths
Should college mathematics always be taught in such a way that real world applications are always included?,maths
Interesting but very easy epsilon-delta problems?,maths
To which degree should exams test intelligence vs mastery of the material,maths
 Real world  examples of implicit functions,maths
How to show  x?a  x?a  is a factor of a polynomial p x p x  if and only if p a =0p a =0  without division ,maths
Resources for precalculus applications,maths
What is a recommend way to describe a negative number with large absolute value?,maths
Why is polynomial factorization over the integers part of secondary school curricula?,maths
What s a replacement for  married couples  in combinatorics problems?,maths
An application of the Cauchy criterion for undergraduates?,maths
Neat topics or problems to include in a probability class real world,maths
How would you introduce Frullani integral to students?,maths
Introducing an axiomatic method to high-school students,maths
Resources for Teaching Logic to Primary School Children?,maths
How to explain the concepts of limits and continuity to non-mathematical students,maths
Project Based Learning or Applied Math involving modular arithmetics?,maths
A student is cheating and I don t know how,maths
Why define the names of quadrilaterals so that some categories  rhombus and rectangle  intersect and some  kite and trapezoid  are disjoint?,maths
Computational Software for the whole curriculum and beyond,maths
Are kindergartners supposed to be steered from squares being rectangles?,maths
Would it be a good idea to provide students with Khan Academy links?,maths
What is the ideal teaching style for Calculus exercises only?,maths
How to solve ax=bax=b?,maths
implication vs equivalence when solving equations,maths
Multidisciplinary problem,maths
How to Teach Middle School Students to Read Square Roots?,maths
Using tensegrity structure to teach high school math?,maths
Teaching Calculus Less Formally,maths
when should we teach basic complex algebra?,maths
Comparison Tests in Calculus,maths
Why aren t integral equations often taught  back to back  with differential equations?,maths
What is the correct symbol to use for ending a counterexample?,maths
Why most people think that   fg ?=f??g? fg ?=f??g??,maths
Teaching congruent triangles non-rigorously,maths
Tricks to draw a typical triangle?,maths
English book for math for  electrical  engineering similar to German  Higher Mathematics ,maths
Drawing vs Constructing,maths
Interesting settings for exponential growth or decay real world,maths
Questions similar to Wason Selection Task,maths
Mnemonics for some properties in mathematics,maths
Effective Assessment that s Easy to Grade,maths
How to build addition with sets?,maths
Project with transformation geometry,maths
Ten options for multiple choices questions,maths
What are some very concrete examples of statistical models to present to students?,maths
"Experiences with Venn diagrams as didactic tool for factors, GCD, LCM?",maths
How to explain NP-hardness and NP-completeness to students,maths
"How students write their work, and learning outcomes",maths
Textbooks explicitly showing the injections for the sum of sets,maths
Recommend a vector calculus textbook/resource with an algebraic geometry flavor,maths
Should Euler s method be taught in calculus 1 courses?,maths
Timing of when Cayley-Hamilton theorem is taught in Linear Algebra,maths
Reference request  undergraduate combinatorial topology,maths
How to introduce trigonometric ratios  HS  through a cognitive model?,maths
How to resolve the new definition of subtraction and division seen in college algebra?,maths
"Intuition  5 regular polyhedra, 6 regular 4-polytopes, and then 3 regular d-polytopes",maths
What tools are available for creating visual aids?,maths
How to explain multiplying and dividing by fractions with real-world examples,maths
Can y n y n  be used as a way of representing higher order derivatives?,maths
"What is a good hex board size for kids to learn on, playing short games?",maths
Justifying the multi-variable chain rule to students,maths
Exposure to Algebra 2/Calculus Under Time Constraints,maths
Teaching science and engineering students the field of inverse problems,maths
How to deal with poor students who don t take notes?,maths
How was this maths educational video made?,maths
Easy tool to draw stencils,maths
Quizzes  with questions known in advance  instead of homework in a graduate mathematics class. Good Idea or Bad Idea? Pros and Cons?,maths
Why bother completing the square to find the minimum/maximum of a quadratic function?,maths
Simple Number Theory Task,maths
Supplemental text for undergraduate real analysis,maths
"Simple, elegant ways to teach the idea of what functions are for the first time",maths
Urn  containing colored balls  generator?,maths
Teaching logic through  high school algebra ?,maths
"Why don’t all professors let students use notes, books, etc. on exams?",maths
Should I describe the function x?f x0 +f? x0  x?x0 x?f x0 +f? x0  x?x0  as  linear  in a freshman calculus class?,maths
Good real-life examples of transformations of function graphs,maths
Learning math historically,maths
How to present the order of factors and summands for the usual multiplication procedure,maths
What is the best term for  probability measure  in an undergrad introduction to probability course?,maths
Should homework be graded in an undergraduate math course?,maths
What is an intercept?,maths
Is There Such Thing as Learning Disability in Math?,maths
Should students be given partial scores when they gave an incomplete proof by contradiction?,maths
What are standard  or good  textbooks for undergraduate graph theory?,maths
Why emphasize moment generating function over characteristic function in a probability course?,maths
Evaluation and feedback using Optical Mark Recognition systems in secondary school,maths
"Books similar to  Teaching Developmentally , but for high school math",maths
CoTeaching Elementary Linear Algebra,maths
What is the best way to assign letter grades in a math class?,maths
