ID,Question,Date,Class
1357,Open Rings-First Abstract Algebra Text,09/11/2018,maths
1358,"In what grade do kids (New York, US) learn common differences?",10/11/2018,maths
1359,Presenting ways to find a resultant force,12/11/2018,maths
1360,Making modular arithmetic interesting for school kids,12/11/2018,maths
1361,Difference between high school and college calculus courses,12/11/2018,maths
1362,Accessible written proof of the Nash Indifference Theorem (game theory)?,15/11/2018,maths
1363,Fun classroom exercise for mental rotation,16/11/2018,maths
1364,Algebra 2 textbooks that incorrectly claim that all solutions of polynomial equations can be found,18/11/2018,maths
1365,Should young math students be taught an abstract concept of form?,18/11/2018,maths
1366,Flipped introductory real analysis resources?,19/11/2018,maths
1367,Making physical 3D models,21/11/2018,maths
1368,How can I explain horizontal shifts to a 12 year old by analogizing with your money?,22/11/2018,maths
1369,For what subjects and grade levels is the take-home exam suitable?,24/11/2018,maths
1370,Better ways to explain mutually exclusiveness and dependency of events,26/11/2018,maths
1371,A proof based Multivariable Calculus and Linear Algebra,29/11/2018,maths
1372,Formats for Calculus instruction at different colleges and universities,30/11/2018,maths
1373,Teaching methods to make a weak student good at math? (particularly student from social science background),30/11/2018,maths
1374,Mainstreaming math student,03/12/2018,maths
1375,How to make a student not overlook easy mistakes such as the wrong sign,03/12/2018,maths
1376,Multiple students writing why?,03/12/2018,maths
1377,How to deal with  Why can't I just do ......  in real analysis?,06/12/2018,maths
1378,Structure of math textbooks,07/12/2018,maths
1379,Word for the dimension of the vector space in which a vector lives?,09/12/2018,maths
1380,How to introduce group theory to a general audience in 15 minutes?,10/12/2018,maths
1381,"Is it a bad idea to use an old textbook such as Differential and integral calculus, with examples and applications for calculus course?",10/12/2018,maths
1382,Topics in Mathematics for a 15 minute demonstration,11/12/2018,maths
1383,The royal road to calculus,11/12/2018,maths
1384,"Why we don't normally teach chord, versine, coversine, haversine, exsecant, excosecant any more?",11/12/2018,maths
1385,Duodecimal by Stealth,12/12/2018,maths
1386,"In teaching mathematics, should one always follow some international standards such as ISO 80000-2?",15/12/2018,maths
1387,In which course should we teach solving general cubic and quartic equations?,16/12/2018,maths
1388,What is a realistic situation that illustrates precisely what a p-value is?,17/12/2018,maths
1389,A good example to show group actions and Burnside's lemma,17/12/2018,maths
1390, Indicated Arithmetic  or  Delayed Evaluation ,17/12/2018,maths
1391,A system for students to fill in gaps throughout a math degree,19/12/2018,maths
1392,A Markov chain demonstration that doesn't require computers,20/12/2018,maths
1393,Why are we even studying cyclotomic polynomials?,21/12/2018,maths
1394,is it appropriate or beneficial to mention weird results in math?,22/12/2018,maths
1395,Quadratic modeling project with upward-facing parabola example,23/12/2018,maths
1396,"Is there a place to buy physical models to demonstrate the Calculus shell, disk, and washer methods?",23/12/2018,maths
1397,Recommended list of things calculus students should be required to memorise?,26/12/2018,maths
1398,Measure of Improvement in Math Skills from Remediation with ALEKS,26/12/2018,maths
1399,How can I help a student who is constantly struggling in an honors Algebra II (high school) class,27/12/2018,maths
1400,Desmos Assignment: Make a graph that does this,28/12/2018,maths
1401,How to deal with students who object to me teaching material that won't be in the exam?,29/12/2018,maths
1402,How can I measure the mathematical computation skills of high school students through a test?,30/12/2018,maths
1403,"Long-form, multi-step, skills-integrating applied mathematics problems in calculus I, II, III",30/12/2018,maths
1404,Are there any negative consequences in applying operations/functions to a whole equality?,31/12/2018,maths
1405,Could students learn a lot more from school if they're only taught number theory until way later?,03/01/2019,maths
1406,Should theorems be proved to students who are not majoring in mathematics?,03/01/2019,maths
1407,Tactile Learning Activities in Mathematics,04/01/2019,maths
1408,Motivate your answer vs. Prove your answer,08/01/2019,maths
1409,Easy examples of visualizing passive transformations in the plane?,11/01/2019,maths
1410,What effect does giving numerical or written grades have on learning?,14/01/2019,maths
1411,Vector calculus texts that are free-as-in-speech?,18/01/2019,maths
1412,Practical Implication for Correlation (Lay individual vs Scholarly Group),23/01/2019,maths
1413,Favorite datasets to use when teaching statistics,24/01/2019,maths
1414,How to explain linear approximation to an equation to calculus students?,24/01/2019,maths
1415,How to prepare for lecturing in a non-fluent foreign language?,24/01/2019,maths
1416,How to balance the difficulty level and speed of lectures for students of very different levels?,24/01/2019,maths
1417,Published papers for Intro Stat students to read,25/01/2019,maths
1418,Which examples should we mention when teaching the concept of derivatives?,28/01/2019,maths
1419,What is a good format of tutorial sessions?,29/01/2019,maths
1420,Is it a problem if a senior student majoring in mathematics could not prove the quadratic formula?,30/01/2019,maths
1421,What is the standard for  simplifying your answer ?,31/01/2019,maths
1422,Book recommendations on mathematics education focusing on geometry,04/02/2019,maths
1423,Analogy for nested loops/integrals,05/02/2019,maths
1424,"Is there a point at which it makes decidedly more sense to learn about a  linear approximation  to a function, rather than a  tangent ?",05/02/2019,maths
1425,Calculus workbook suggestions,07/02/2019,maths
1426,How to deal with a  protest  assignment?,08/02/2019,maths
1427,Would teaching nonstandard calculus in an introduction calculus course make it easier to learn?,09/02/2019,maths
1428,Activities for calc based physics,11/02/2019,maths
1429,"How does knowing more about mathematics help one's teaching of lower level course, such as calculus?",14/02/2019,maths
1430,Studies about group tutoring sessions,15/02/2019,maths
1431,Good textbooks for a college Basic Geometry course?,15/02/2019,maths
1432,Difficulty in teaching the coordinates of a vector with respect to a basis,17/02/2019,maths
1433,Geometry textbook with an abstract algebra emphasis,18/02/2019,maths
1434,"In a typical 3rd-semester multivariate calculus course in the US, what kind of area integrals do students actually learn to do?",18/02/2019,maths
1435,Alternating group without example,19/02/2019,maths
1436,How to write slower on a blackboard?,20/02/2019,maths
1437,Why do some students struggle so much with fractions?,21/02/2019,maths
1438,A more rigorous approach to Precalculus,25/02/2019,maths
1439,Midterm in Mathematics Courses,25/02/2019,maths
1440,Math Lessons with Two Parts and a Combination,26/02/2019,maths
1441, Amplitude  of Tan and Cot functions,26/02/2019,maths
1442,What software and technology could help this deaf and blind student do math?,02/03/2019,maths
1443,"When teaching someone how to prove a function is uniformly continuous, using epsilon/delta, which example would be among the simplest?",02/03/2019,maths
1444,Are questions on overlapping solids of revolutions without prior definitions and instructions fair given that there are divided interpretations?,03/03/2019,maths
1445,Learning proofs in introductory analysis courses,06/03/2019,maths
1446,"Vocabulary for giving just numbers, not a full answer",10/03/2019,maths
1447,Analogy for multiplying modulo N,12/03/2019,maths
1448,Real World use of the Function,14/03/2019,maths
1449,What books properly address the properties of ?,16/03/2019,maths
1450,Group theory by geometry,16/03/2019,maths
1451,How to explain what's wrong with this application of the chain rule?,21/03/2019,maths
1452,Notation for change of basis matrix,22/03/2019,maths
1453,Teaching indefinite integrals that require special-casing,25/03/2019,maths
1454,"Revision Lecture, what are the aims?",26/03/2019,maths
1455,Physical devices for exploring calculus or pre-calculus,27/03/2019,maths
1456,How to verbalize the correct statement of mixed units?,27/03/2019,maths
1457,Could this visual explanation of horizontal shift be helpful ? ...( if not beautiful...),27/03/2019,maths
1458,Where to find good exercises for term operations?,28/03/2019,maths
1459,Missouri EOC and the best Geometry book,28/03/2019,maths
1460,How to explain to pupils that OF is equivalent to?,01/04/2019,maths
1461,How to motivate students to do proofs?,02/04/2019,maths
1462,When should students stop receiving tutoring for mathematics?,04/04/2019,maths
1463,Geogebra for Blind People,07/04/2019,maths
1464,Could students be taught the concept of rational numbers the same way as in the Formal construction section of the Wikipedia article rational number?,09/04/2019,maths
1465,How to make students comfortable with the use of axiom of choice in analysis,10/04/2019,maths
1466,Lower-division complex analysis textbook,15/04/2019,maths
1467,Best practices in teaching math to future elementary teachers,15/04/2019,maths
1468,Complex numbers and encourage justification,17/04/2019,maths
1469,Why is it difficult to freely change between points and vectors?,17/04/2019,maths
1470,Unconstrained/Constrained optimization real life example,20/04/2019,maths
1471,What should I say about elementary number theory?,25/04/2019,maths
1472,"What are some tips for framing a graph in the most readable, relevant, and aesthetic way, for secondary education mathematics?",26/04/2019,maths
1473,What is the notation for polynomial long division in Norway?,30/04/2019,maths
1474,Curriculum for Advanced 6th Graders,30/04/2019,maths
1475,Why in the FOIL Method the terms are taken with their signs?,01/05/2019,maths
1476,How to overcome the frustration in teaching and doing research at the same time,01/05/2019,maths
1477,Explicit Cross Method,01/05/2019,maths
1478,Is a clear distinction made between signs and operators?,02/05/2019,maths
1479,Use of Lockhart's *Measurement* in a course?,02/05/2019,maths
1480,What are some common ways students get confused about finding an inverse of a function?,03/05/2019,maths
1481,How to formulate this type of arcsin problem?,03/05/2019,maths
1482,Pros and cons of randomised question generation,04/05/2019,maths
1483,Introducing derivative concept and definition,05/05/2019,maths
1484,"Naming arbitrary constants: subscripts, primes, or just more letters?",05/05/2019,maths
1485,What is an interesting high-school level topic to discuss using Mathematica or Geogebra?,09/05/2019,maths
1486,The art of designing of problem sets,10/05/2019,maths
1487,Solutions to exercises,10/05/2019,maths
1488,Are there textbooks that cover most etymological aspects of mathematics?,12/05/2019,maths
1489,What books are good for drawing an intersecting plane?,16/05/2019,maths
1490,Real-life exceptions to PEMDAS?,16/05/2019,maths
1491,How to justify that students should come to class?,19/05/2019,maths
1492,Is there a simple example that empirical evidence is misleading?,20/05/2019,maths
1493,Category mistakes regarding symbols and their impact on math (mis) understanding. ( Object symbol/ sentence symbol confusion),21/05/2019,maths
1494,How to come up with a Leslie matrix with convenient eigenvalues?,27/05/2019,maths
1495,Mobile phone apps that would allow for students to anonymously  buzz  me in real time?,28/05/2019,maths
1496,"How can I explain why numerical integration is easy, but symbolic integration is hard?",28/05/2019,maths
1497,Resources for teaching calc III,29/05/2019,maths
1498,Scientific results on the usefulness of physical units in secondary education?,04/06/2019,maths
1499,"Propositional and predicate logic, with quantifiers: Is there any research when it is ideal to explicitly teach in mathematics education?",07/06/2019,maths
1500,Different Kinds of Variables,09/06/2019,maths
1501,"MacLane-Birkhoff's  Algebra  vs Jacobson's  Basic Algebra I,II  vs Lang's  Algebra ",18/06/2019,maths
1502,Ideas for the introduction of the derivative?,21/06/2019,maths
1503,How to intuitively convince the students that a strip with two full twists is homeomorphic to the standard annulus?,24/06/2019,maths
1504,Corequisite remediation for  Mathematics for Future Elementary Teachers ,25/06/2019,maths
1505,Student-friendly / efficient approach to computing Taylor coefficients of infinite binomial series expansions?,25/06/2019,maths
1506,Enlighten younger students about the concept of  procedural justice  in mathematics?,26/06/2019,maths
1507,Delivering mathematics lectures via tablet and projector,27/06/2019,maths
1508,Gauging correspondence between classtime and material rate,02/07/2019,maths
1509,Inefficient methods,04/07/2019,maths
1510,"Rhombuses, kites etc",11/07/2019,maths
1511,Entry Test for Statistical/Data Science class,15/07/2019,maths
1512,Motivation vs. Rigor,20/07/2019,maths
1513,Should a math teacher know some computer algebra system  by heart ?,25/07/2019,maths
1514,How to make a mathematical dynamic graph?,29/07/2019,maths
1515,How to help new students accept function notation,06/08/2019,maths
1516,Is it a bad idea to offer variants of a final exam based on the type of allowed calculators?,07/08/2019,maths
1517,Software for validating answers from students,13/08/2019,maths
1518,What is the most difficult concept to grasp in Calculus 1?,14/08/2019,maths
1519,Adding things to bunches of things vs multiplication,15/08/2019,maths
1520,Why is absolute value difficult?,16/08/2019,maths
1521,Should school syllabus include chapters partially?,17/08/2019,maths
1522,Will there ever be a revision of Common Core?,21/08/2019,maths
1523,The most transparent exposition of Bayes' Theorem,24/08/2019,maths
1524,Graph theory teaching materials for young students,30/08/2019,maths
1525,An alternative to  two column  geometry proofs,01/09/2019,maths
1526,Is there research on the efficacy of taking good notes in math class?,01/09/2019,maths
1527,Is there a pre-calculus introduction to the formal definition of a limit?,02/09/2019,maths
1528,"Studies on more simple problems, or fewer difficult problems?",02/09/2019,maths
1529,"Easy examples of correspondence between global and local, as preparation for Gauss's theorem and Stokes's theorem",02/09/2019,maths
1530,How should students say in words the notation for a limit?,03/09/2019,maths
1531,Why do you need to distinguish between apparently identical objects in probability?,06/09/2019,maths
1532,How to choose random student to answer questions?,08/09/2019,maths
1533,A different symbol for the indefinite integral/antiderivative?,09/09/2019,maths
1534,How to show,09/09/2019,maths
1535,"The word  numeral , is it being taught and does the word exist for it in your language?",12/09/2019,maths
1536,Can anyone recommend good software for verifying row reduction steps?,12/09/2019,maths
1537,Asking students to define  unique ,12/09/2019,maths
1538,How to give my students a straightedge instead of a ruler,13/09/2019,maths
1539,Applied ODEs for Numerical Methods,16/09/2019,maths
1540,Calculus book for basic calculus and repetition from videregaende (Norwegian high school),17/09/2019,maths
1541,Instilling a Growth Mindset in a Student Diagnosed With Dyscalculia,19/09/2019,maths
1542,Is Plane Trigonometry by S. L. Loney still good as a textbook today?,23/09/2019,maths
1543,How important is knowledge of trig identities for use in Calculus,24/09/2019,maths
1544,Quote to show students don't have to fear making mistakes,25/09/2019,maths
1545,How to explain that the sums of numerators over sums of denominators isn't the same as the mean of ratios?,27/09/2019,maths
1546,(Riemann integrability) How do you explain this to a high school student?,28/09/2019,maths
1547,Are there mathematical proof info-graphics?,30/09/2019,maths
1548,(use of de L'Hospital's rule) How would you explain this limit to high school students?,01/10/2019,maths
1549,How to explain even higher moments,02/10/2019,maths
1550,How to teach sketching a parametric curve?,02/10/2019,maths
1551,Examples for environmental topics in the context of terms or linear inequalities,02/10/2019,maths
1552,What is the name of the form of the line equation,06/10/2019,maths
1553,Examples of informal explanations that cause misconceptions,06/10/2019,maths
1554, Table  method for expanding brackets vs  each term in the first bracket gets multiplied by each term in the second bracket ,06/10/2019,maths
1555,How can I learn to write better questions to test for conceptual understanding?,07/10/2019,maths
1556,Prisoner's dilemma formulation for children example,09/10/2019,maths
1557,The propagation of the wave equation in even versus odd dimension,12/10/2019,maths
1558,Symmetry in polar functions - how to explain,14/10/2019,maths
1559,Take-Home Examination on Ordinary Differential Equations?,16/10/2019,maths
1560,How do you attract more math majors at a liberal arts college math department?,18/10/2019,maths
1561,In preparation for exams: question bank or questions with omitted particulars?,18/10/2019,maths
1562,Exercise database,22/10/2019,maths
1563,"Explaining why (or whether) zero and one are prime, composite or neither to younger children",27/10/2019,maths
1564,"Which textbooks on College Algebra, Trigonometry, Pre-calculus, Calculus, Linear Algebra, ODE are written by world-class mathematicians?",29/10/2019,maths
1565,Are there any textbooks on multivariable calculus that introduce all non-trivial definitions and all non-trivial proofs with a  first draft ?,29/10/2019,maths
1566,Road map to teach undergrads a first course in real analysis that concludes with convergence of fourier series,29/10/2019,maths
1567,Teaching a student who refuses to learn,30/10/2019,maths
1568,The hardest case of integration by partial fractions,01/11/2019,maths
1569,The trick didn't like me (teaching Fourier transform),03/11/2019,maths
1570,"Are degrees of polynomials illogically defined in elementary algebra, intermediate algebra and college algebra courses?",05/11/2019,maths
1571,Should Euler's formula be seen as a definition rather than something to prove?,05/11/2019,maths
1572,Favorite secondary math manipulatives?,12/11/2019,maths
1573,Co-curricular lessons between geometry and chemistry?,14/11/2019,maths
1574,Beautiful planar geometry theorems not encountered in high school,15/11/2019,maths
1575,Introductory exercise for the addition of large natural numbers,17/11/2019,maths
1576,Examples of Quadratic equations using complex math but with no imaginary roots,19/11/2019,maths
1577,Good Source for German Tank Problem,20/11/2019,maths
1578,Algorithmic thinking problems,21/11/2019,maths
1579,What mathematics activities get students physically moving?,23/11/2019,maths
1580,Suggested idea: Course exams written by someone else other than the instructors/coordinators. Good or Bad?,24/11/2019,maths
1581,3D vectors with 3D glasses software,24/11/2019,maths
1582,An intuitive explanation of l Hopital's rule for,25/11/2019,maths
1583,"How should one approach the concept of  plus or minus , such as in the numerator of the quadratic formula?",26/11/2019,maths
1584,Cinderella vs. GeoGebra,28/11/2019,maths
1585,How to emulate erf and/or the Normal Inverse function in Moodle?,28/11/2019,maths
1586,Should high school teachers say  real numbers  before teaching complex numbers?,29/11/2019,maths
1587,Developing abductive (problem-solving) skills,30/11/2019,maths
1588,How to (or should one) distinguish between lowercase and uppercase letters orally when lecturing?,30/11/2019,maths
1589,How do I convince my teachers that a book on maths must focus on conceptual understanding?,03/12/2019,maths
1590,How to teach linear programming and reductions?,07/12/2019,maths
1591,Using video games as an introductory tool for game theory? Can video games illustrate game theoretic concepts?,09/12/2019,maths
1592,Is this primarily a  rote computational trick  for multiplication by 9?,13/12/2019,maths
1593,Should we stop differentiating between ln and log?,16/12/2019,maths
1594,Cardinal vs. ordinal: When learned? When needed?,18/12/2019,maths
1595,Are there standard notations for 'number talks  math talks?',22/12/2019,maths
1596,Equality as  makes  vs equality as  equals ,23/12/2019,maths
1597,How should I introduce the Chain Rule,24/12/2019,maths
1598,Should we teach simple content quickly or slowly?,26/12/2019,maths
1599,What is the quantitative data on effectiveness of  modern  teaching methods?,27/12/2019,maths
1600,Does anyone teach logarithms via slide rules?,02/01/2020,maths
1601,"Fun, impressive, or compelling examples of scaling of the standard deviation like",04/01/2020,maths
1602,"Is short division taught these days and if not, why not?",06/01/2020,maths
1603,Notation in the definition of matrix multiplication,07/01/2020,maths
1604,How to read chained equalities out loud?,09/01/2020,maths
1605,Is there a numerical base that is in any way  better  for simple mathematical calculations than others?,09/01/2020,maths
1606,How to teach integrals motivated by the work done in moving an object?,14/01/2020,maths
1607,Are there any proofs of Euler's Formula that do not rely on calculus?,15/01/2020,maths
1608,Acceptability of creative questions in assessments,15/01/2020,maths
1609,How is interpreted?,16/01/2020,maths
1610,Teaching Calculus I to engineers,17/01/2020,maths
1611,Combinatorial problems which can be solved with polynomials,19/01/2020,maths
1612,Introducing quadric surfaces in high school,21/01/2020,maths
1613,Algebra/trig/precalculus review questions that elicit common student errors,22/01/2020,maths
1614,Patterns that unexpectedly fall apart at large,31/01/2020,maths
1615,Why are a.e. defined functions rarely mentioned in elementary books?,04/02/2020,maths
1616,Terminology for parts of limit notation,05/02/2020,maths
1617,Allowing nonstandard mathematical language and/or notation,07/02/2020,maths
1618,Fear of 3-dimensions,09/02/2020,maths
1619,Tips and References for a 15 days Course on Math,09/02/2020,maths
1620,Adult Learners Returning to College Level Math,12/02/2020,maths
1621,How to intuitively understand how the trig ratios are calculated,14/02/2020,maths
1622,How do I show students the Beauty of Mathematics?,14/02/2020,maths
1623,Undergraduate Vector Calculus Notation Mess,14/02/2020,maths
1624,Taxonomy of bad proofs,17/02/2020,maths
1625,How do you plausibly explain that the geometric and the coordinate expressions for the scalar product are equivalent?,17/02/2020,maths
1626,On a special degenerate conic,17/02/2020,maths
1627,Scoring students' work is counter-productive,18/02/2020,maths
1628,Has the equation substitutable solution in ?,18/02/2020,maths
1629,Making epsilon-delta proofs not just precalculus,18/02/2020,maths
1630,Confusing verbal descriptions of function transformations,23/02/2020,maths
1631,Teaching Quantifiers Before Logical Connectives,23/02/2020,maths
1632,Can we avoid confusion over using  let  as a quantifier?,24/02/2020,maths
1633,How should I convince a student who thinks they proved 1 is 1,24/02/2020,maths
1634,Students writing when they probably mean,24/02/2020,maths
1635,What are strategies for teaching that the altitude of a right triangle creates two similar triangles?,25/02/2020,maths
1636,How to explain the  less than yearly compounded interest  concept?,26/02/2020,maths
1637,Should we stop teaching  interchange and  when finding the inverse function?,28/02/2020,maths
1638,What would you recommend for the math thinking course for school?,02/03/2020,maths
1639,"A fun, one-day topic for a vector analysis course",05/03/2020,maths
1640,Proof that convergent Taylor Series converge to actual value of function,09/03/2020,maths
1641,Online Whiteboard Application with Simple Latex Support,10/03/2020,maths
1642,How shall we teach math online due to pandemic,12/03/2020,maths
1643,Best resources for probability/statistics textbooks,14/03/2020,maths
1644,Tablet whiteboard app w e-pencil,15/03/2020,maths
1645,Most popular setups for recording video lectures for pandemic,17/03/2020,maths
1646,How to evaluate students in a  do all you can  exercise?,17/03/2020,maths
1647,Should we stop using traditional compass in schools & start/encourage adopting compasses like  Slide N Measure  or  Safe-T  compasses instead?,17/03/2020,maths
1648,Is evaluating a Real Polynomial at a Complex Value a suitable task for Precalculus students?,18/03/2020,maths
1649,Topics for undergraduate seminar for mathematics educators,18/03/2020,maths
1650,How to conduct online testing for Calculus due to pandemic,18/03/2020,maths
1651,Math circles while under quarantine pandemic,20/03/2020,maths
1652,help thinking of conceptual or open-ended Intro Algebra and Intermediate Algebra test questions pandemic,24/03/2020,maths
1653,The Future of Worksheets - will they still be used or abandoned?,29/03/2020,maths
1654,The spatial thinking course for primary school - what to use?,30/03/2020,maths
1655,Online testing platform,31/03/2020,maths
1656,What is the best way to intuitively explain the relationship between the derivative and the integral?,02/04/2020,maths
1657,Ideas for explaining 4D and higher dimensions,05/04/2020,maths
1658,How to define  axes with the same scale  in Secondary/High School?,06/04/2020,maths
1659,Are there any online question bank of mathematics questions?,08/04/2020,maths
1660,Mathematics minor requirements,13/04/2020,maths
1661,Resources for improving computational skills at the high school/university transition,14/04/2020,maths
1662,When assigning a late penalty for assignments is that penalty subtracted from the total or does it reduce the score by that percentage,14/04/2020,maths
1663,Multiple extra credit questions in a homework set,15/04/2020,maths
1664,Different ways to multiply decimals,17/04/2020,maths
1665,Do you have an efficient way to view student responses to remote assignments allowing them to type math symbols and steps? (Middle + High school) pandemic,22/04/2020,maths
1666,Has a List of Fundamental Mathematical Skills been compiled?,22/04/2020,maths
1667,Do you teach different proofs or calculations of same question?,23/04/2020,maths
1668,Ideas and/or references for projects for a business calculus course,27/04/2020,maths
1669,Geometrical interpretation of the identity ,28/04/2020,maths
1670,"For an online assignment application, should different versions of the same assignment be allowed to have different numbers of questions?",28/04/2020,maths
1671,(How) Do American undergraduate math programs teach complex numbers?,29/04/2020,maths
1672,Fun set theory for kids,04/05/2020,maths
1673,Introductory Analysis lecture slides,04/05/2020,maths
1674,Does the  Find  in questions such as  Find the solution  imply the process of finding must be laid out?,06/05/2020,maths
1675,Examples for  good  exponential growth versus linear growth,06/05/2020,maths
1676,Interesting things you learned while grading?,07/05/2020,maths
1677,Is there research to back up the claim that math classes help develop analytical skills?,07/05/2020,maths
1678,Content for a 40-minute lecture on graph theory for high schoolers,07/05/2020,maths
1679,Proof by contradiction - more than one case,08/05/2020,maths
1680,How rigorous should high school calculus be?,09/05/2020,maths
1681,How do I track down the sources of solutions which students have used to cheat on exams?,13/05/2020,maths
1682,Why do some linear algebra courses focus on matrices rather than linear maps?,14/05/2020,maths
1683, Feynman effect  in teaching mathematics,15/05/2020,maths
1684,Looking for a HIERARCHY of math subjects,20/05/2020,maths
1685,Math 3d animation software,21/05/2020,maths
1686,How to motivate an adolescent who has fallen behind in conceptual development?,22/05/2020,maths
1687,"Teaching Approach at primary, middle and higher level",23/05/2020,maths
1688,What are some resources for  ungrading  in a math class?,31/05/2020,maths
1689,Efficient methods to receive and grade online mathematics assessments due to pandemic?,01/06/2020,maths
1690,Applications of unreducible fractions in Basic School,02/06/2020,maths
1691,How must the  ungrading  idea be adapted to work in a math class?,03/06/2020,maths
1692,Concrete way to teach addition and subtraction of fractions,05/06/2020,maths
1693,self-reliance and psychology in learning math,07/06/2020,maths
1694,Future way of learning mathematics (towards graduate level) due to pandemic,08/06/2020,maths
1695,Better instruction for an identity equation worksheet,09/06/2020,maths
1696,"How, now, shall we teach math online due to pandemic",13/06/2020,maths
1697,Workbooks for advanced high school math topics,16/06/2020,maths
1698,What websites allow students to purchase solutions to problems?,18/06/2020,maths
1699,What are the best practices for giving online tests due to pandemic?,20/06/2020,maths
1700,What are some of the open problems that can be suitably introduced in a calculus course?,22/06/2020,maths
1701,The use of  ??  and  ?? ,23/06/2020,maths
1702,English translation of Sung-Dae Hong's The Art of Mathematics,23/06/2020,maths
1703,When do college students learn rigorous proofs?,24/06/2020,maths
1704,Why is a translated exponential function considered an exponential function?,26/06/2020,maths
1705,Ideal Features of Online Homework Platform?,29/06/2020,maths
1706,"Analogies for grad, div, curl, and Laplacian?",05/07/2020,maths
1707,Is There Such Thing as Reaching Half a Standard?,07/07/2020,maths
1708,Do you mention the continuity and the differentiability of the empty function,07/07/2020,maths
1709,Would it make sense for math courses to be pass/fail?,09/07/2020,maths
1710,What is  mastery  in a mathematical topic?,09/07/2020,maths
1711,What is a good place for teachers to share self-created content?,10/07/2020,maths
1712,Good resources on matrix equations,11/07/2020,maths
1713,How much more skilled in the topic should you be in order to teach the topic?,13/07/2020,maths
1714,Research for Video Length for Math Videos,17/07/2020,maths
1715,How can teachers warn students about common mistakes without causing the student to make the mistake?,21/07/2020,maths
1716,Generating system of equations with unique solutions,22/07/2020,maths
1717,Intuition or geometry for Partial Fractions,24/07/2020,maths
1718,Definitions of factors and terms,03/08/2020,maths
1719,"In single variable calculus, do you distinguish between critical and singular points?",03/08/2020,maths
1720,Do you know of any third-party online math-friendly testing software?,04/08/2020,maths
1721,When evaluating the limit of approaches should we consider only those in the domain of?,05/08/2020,maths
1722,Teaching aid for online mathematics course pandemic,05/08/2020,maths
1723,What strategy for picking convergence tests for series do you teach?,06/08/2020,maths
1724,Online Definition/Theorem Statement Quizzes due to pandemic,07/08/2020,maths
1725,Transitioning proof based math courses online due to pandemic,10/08/2020,maths
1726,"If a computer could be programmed to do a math test, then should those tests be changed?",13/08/2020,maths
1727,What topics are considered to be part of pre-algebra?,14/08/2020,maths
1728,Sharing notes in an editable format?,14/08/2020,maths
1729,What books are good to study Solid Mensuration?,15/08/2020,maths
1730,Best form for slide / beamer presentation: display items in a slide as they are discussed or all at once?,20/08/2020,maths
1731,Is there a study on how often modern teaching methods versus traditional methods are used in a math classes?,25/08/2020,maths
1732,"asynchronous teaching and requiring frequent email updates from students, and having these as the only part of their grade due to pandemic",26/08/2020,maths
1733,How to layout a solution to a trig equation?,26/08/2020,maths
1734,How do you explain concavity of a polynomial without any calculus?,26/08/2020,maths
1735,What is a good way to teach Taylor expansion of multi-variable calculus?,27/08/2020,maths
1736,How to word this exercise about converting  English  into interval notation?,28/08/2020,maths
1737,Are there direct practical applications of differentiating natural logarithms?,28/08/2020,maths
1738,Grading in a way that lets students have a good and formative experience,29/08/2020,maths
1739,How to explain to undergraduate students what research means?,30/08/2020,maths
1740,How to make maths explainer videos?,30/08/2020,maths
1741,Future educators writing nonsense questions,03/09/2020,maths
1742,"Question formats for online tests, to deter cheating",04/09/2020,maths
1743,Create a mathematical problem with randomized parameters,05/09/2020,maths
1744,How much literature research should one do when designing a course?,06/09/2020,maths
1745,Is there an arithmetic book similar to  Teach Your Child to Read in 100 Easy Lessons  by Siegfried Engelmann?,06/09/2020,maths
1746,The purpose of a particular rational function integration exercise,07/09/2020,maths
1747,Math activities for fast-finishers,07/09/2020,maths
1748,Why are  homogeneous differential equations  in the standard ODE curriculum?,08/09/2020,maths
1749,Where does the compulsive use of three dots come from and should it be discouraged?,08/09/2020,maths
1750,What's the point of learning equivalence relations?,08/09/2020,maths
1751,Analogy for cylindrical shells,09/09/2020,maths
1752,Practical case real world for solving with system of 2 equations,16/09/2020,maths
1753,How long should we spend on teaching students the basics of subject?,17/09/2020,maths
1754,"What are some famous problems, which are not difficult to understand, for senior high school students",17/09/2020,maths
1755,"Exercises for explaning homothety, homothetic center, similarity on line and plane, free vector and vector space",18/09/2020,maths
1756,How can I teach to 10 years old students while s\he knows canceling the zeroes rule?,21/09/2020,maths
1757,Trying to explain(understand?) combinations,24/09/2020,maths
1758,Transition into a non-explicit sample space world,25/09/2020,maths
1759,What to do when uncertain about a question while tutoring,25/09/2020,maths
1760,Low-tech ways of visualizing multivariable and vector calculus,26/09/2020,maths
1761,Number theory in an introductory course on discrete dynamical systems,26/09/2020,maths
1762,Can we skip Newton's Method?,28/09/2020,maths
1763,Why does a first course in linear algebra teach QR-decomposition?,29/09/2020,maths
1764,Relational understanding for a specific topic,30/09/2020,maths
1765,What are some nice ways to incorporate Euler's Method or other numerical methods throughout calculus?,30/09/2020,maths
1766,Cautionary tales for Gaussians/the central limit theorem?,30/09/2020,maths
1767,"Have you ever completely covered every topic in a textbook, and if so, which text?",01/10/2020,maths
1768,Best Touchscreen Laptop for Tutoring During COVID Pandemic,01/10/2020,maths
1769,Why do not American school textbooks recognize negative numbers as whole numbers?,04/10/2020,maths
