Question,Date,Answer,Student or Teacher or neither,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology
Advice on teaching advanced mathematics to high school students,12/10/2021,2,s,,,,,,,,,,,,,,,,,,,,,
How to make progress as an independent student?,12/10/2021,0,s,,,,,,,,,,,,,,,,,,,,,
Solving math problems and learning,20/10/2021,1,s,,,,,,,,,,,,,,,,,,,,,
"Solved , open problems and levels of difficulty",10/11/2021,0,s,,,,,,,,,1,,,,,,,,,,,,
Is Stewart Calculus a good book for AP calculus exam prep?,18/11/2021,2,s,,,,,,,,,,,,,,,,,,1,,,
Doctorate and examples of difficult solved problems,01/01/2022,4,s,,,,,,,,,,,,,,,,,,,,,
"How long would it take someone to master the topics in the book ""Book of Proof"" by Hammack and similar?",08/01/2022,4,s,,,,,,,,,,,,,,,,,,,,,
Best books for mathematical statistics self-study?,10/01/2022,1,s,,,,,,,,,,,,,,,,,,1,,,
Math outside of undergraduate studies and proofs,12/01/2022,1,s,,,,,,,,,,,,,,,,,,,,,
How do you study subjects you're not that interested in,14/01/2022,2,s,,,,,,,,,,,1,,,,,,,,,,
Problem solving approach to learning and psychology,17/01/2022,0,s,,,,,,,,,1,,,,,,,,,,,,
Mental Health in Mathematics,17/01/2022,1,s,,1,,1,,,,,,,,,,,,,,,,,
"Abstract math, examples and understanding or visualising",20/01/2022,1,s,,,,,,,,,,,,,,,,,,,,,
"How do people 'master' a subject? What is the difference with 'memorizing' (not purely memorizing, but rather having it drilled inside the brain) it?",21/01/2022,5,s,,,,,,,,,,,,,,,,,,,,,
Worldwide standard textbooks vs textbooks from one's home country vs lecture notes by various people - pros and cons,23/01/2022,0,s,,,,,,,,,,,,,,,,,,1,,,
Math dyslexia is a big problem for me. I lag behind my classmates,20/02/2022,1,s,,1,,,,,,,,,,,,,,,,,,,
How to understand the book and the material to the deepest possible level?,16/04/2022,2,s,,,,,,,,,,,,,,,,,,,,,
Is the Wronskian still assumed for graduate education?,19/05/2022,2,s,,,,,,,,,,,,,,,,,,,1,,
How to study for a mathematics undergraduate entrance examination?,20/05/2022,2,s,,,,,,,,,,,,,,,,,,,1,,
Textbooks for Non-Convex Optimization,08/07/2022,1,s,,,,,,,,,,,,,,,,,,1,,,
Best book for trigonometry and calculus?,27/07/2022,1,s,,,,,,,,,,,,,,,,,,1,,,
Book recommendation for Mathematical olympiads for a +2 student,03/08/2022,1,s,,,,,,,,,,,,,,,,,,1,,,
How do you know when a textbook is too difficult for you?,10/08/2022,3,s,,,,,,,,,,,,,,,,,,,,,
How can I internalize solutions/proofs to theorems and exercises?,12/08/2022,3,s,,,,,,,,,,,,,,,,,,,,,
How can I help/tutor a friend who is taking the same course as me?,23/08/2022,3,s,,,,,,,,,,,,,,,,,,,,,
Research Into Self-Learning at Undergraduate Level and Above,05/12/2022,1,s,,,,,,,,,,,,,,,,,,,,,
Where to learn axiomatic geometry from Hilbert's axioms?,06/12/2022,3,s,,,,,,,,,,,,,,,,,,1,,,
"Learning, exams, math degree",15/12/2022,1,s,,,,,,,,,,,,,,,,,,,,,
Arithmetic books for adults,14/01/2023,3,s,,,,,,,,,,,,,,,,,,1,,,
Relearning math after long COVID using AoPS or developmental math textbooks?,20/01/2023,3,s,,,,,,,,,,,,,,,,,,,,,
"If I take Modern Analysis next year, will I be prepared to teach multivariable/vector calculus?",23/02/2023,4,s,,,,,,,,,,,,,,,,,,,,,
Is Morris Kline's 'Calculus: An Intuitive and Physical Approach' a Good Book to Learn Calculus From?,15/04/2023,2,s,,,,,,,,,,,,,,,,,,1,,,
Should one study Laplace Transformation before Fourier Transforms?,19/05/2023,2,s,,,,,,,,,,,,,,,,,,,1,,
Recommendations for secondary student interested in maths,28/05/2023,6,s,,,,,,,,,,,,,,,,,,,,,
What is Algebra 1 and 2 as it is in US highschool education?,15/06/2023,2,s,,,,,,,,,,,,,,,,,,,1,,
"Should I really just ""shut up and calculate""? On learning at a good pace without sacrificing rigour",02/08/2023,5,s,,,,,,,,,,,,,,,,,,,,,
Responding to students' questions that aren't directly relevant to their exams,15/08/2023,2,s,,,,,,,,,,,,,,,,,,,,,
How does a math Olympian fare in undergraduate maths courses?,13/11/2023,1,s,,,,,,,,,,,,,,,,,,,,,
What will happen if someone doesn’t make it to the IMO team?,15/11/2023,2,s,,,,,,,,,,,,,,,,,,,,,
Where can I find new types of problems regarding graduate level mathematics?,25/11/2023,2,s,,,,,,,,,,,,,,,,,,1,,,
"Are the standard of questions provided in reputed institutions like MIT, Stanford, Oxford, etc., as good as the problems of IMO?",08/12/2023,1,s,,,,,,1,,,,,,,,,,,,,,,
Why don't these 'solve in 2 sec' tricks work?,20/01/2024,4,s,,,,,,,,,,,,,,,,,,,,,
Any known platform to post self made math questions,14/02/2024,1,s,,,,,,,,,,,,,,,,,,,,,
"The effectiveness of ""honors"" classes",20/03/2024,3,s,,,,,,,,,,,,,,,,,,,,,
Overcoming Dyslexia and Building Intuition,22/03/2024,2,s,,,,,,,,,,,,,,,,,,,,,
An algebra student wants to learn to type commutative diagrams in LaTeX,07/04/2024,4,s,,,,,,,,,,,,,,,,,,1,,,
Syllabus for the bs and ms in mathematical and theoritical statistics,26/08/2024,0,s,,,,,,,,,,,,,,,,,,1,,,
Does answering any math questions you encounter help the quality of what you learn?,02/09/2024,1,s,,,,,,,,,,,,,,,,,,,,,
Math programs in Russia and post-Soviet states - how do they compare to US?,14/09/2024,3,s,,,,,,,,,,,,,,,,,,,1,,
What are some limitations of this learning method?,18/09/2024,2,s,,,,,,,,,,,,,,,,,,,,,1
What is the simplest formula for calculating the circumference of a circle?,24/09/2024,6,s,,,,,,,,,,,,,,,,,,,,,1
"When learning about algebra and geometry, should I read roughly or try to understand every sentence?",01/10/2024,1,s,,,,,,,,,,,,,,,,,,,,,
Math problems amount to some learning? So how would I tackle alot of problems given a time interval?,27/10/2024,1,s,,,,,,,,,1,,,,,,,,,,,,
Why are sequences and series typically taught in Calculus 2 and not Calculus 1?,31/10/2024,5,s,,,,,,,,,,,,,,,,,,,1,,
Recommendations on the number of exercises to do from Linear Algebra and Its Applications 6th edition (by Lay & McDonald),10/11/2024,1,s,,,,,,,,,,,,,,,,,,,,,
Recommendations on number of exercises to do from Thomas Calculus 15th ed,10/11/2024,2,s,,,,,,,,,,,,,,,,,,,,,
"Should I let go of some of the things I planned to learn, or should I take it as a challenge to try to accomplish all of the things I planned to do?",14/11/2024,1,s,,,,,,,,,,,,,,,,,,,,,
How Can I Improve My Mathematical Writing to Sound More Formal and Precise?,30/11/2024,3,s,,,,,,,,,,,,,,,,,,,,,
List of statistics questions,05/12/2024,2,s,,,,,,,,,,,,,,,,,,1,,,
The Undergraduate Responsibility Gradient,02/01/2017,4,t,,,,,,,,,,,1,,,,1,,,,,,
Solvability of Systems of Diophantine Equations using Modular Reasoning,03/01/2017,0,t,,,,,,,,,,,,,,,,,,1,,,
Looking for examples from the MCMC family of ideas,03/01/2017,2,t,1,,,,,,,,,,,,,,,,,1,,,
Good Textbook for combined Beginning and Intermediate Algebra Course,04/01/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
"""Sigma Notation"" vs. ""Summation Notation""",04/01/2017,3,t,,,,,,,,,,,,,,,,,,,,,1
Names for laws involving implication and/or exponentiation,06/01/2017,2,t,,,,,,,,,,,,,,,,,,,,,1
Resources for Inquiry-based Projects with Undergraduates,16/01/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
"""A"" or ""The"" Cartesian plane?",20/01/2017,2,t,,,,,,,,,,,,,,,,,,,,,1
Number theory for self-study students: books and computer languages,20/01/2017,5,t,,,,,,,,,,,,,,,,,,1,,,
Applying inverse trigonometric functions,26/01/2017,4,t,,,,,,,,,,,,,,,,,,,,,1
Using Substitution in place of the balance model,27/01/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
topics for an undergraduate Math seminar,30/01/2017,11,t,,,,,,,,,,,,,,,,,,,1,,
Should I teach a subject I don't like?,08/02/2017,3,t,1,,,,,,,,,,,,,,,,,,,,
Animation of graphing a function,09/02/2017,3,t,,,,,,,,,,,,,,,,,,1,,,
Best way to find out what math topics a person struggles with when tutoring,15/02/2017,3,t,,,,,,,,1,,,,,,,,,,,1,,
Motivation in School,16/02/2017,6,t,,,,,,,,,,,1,,,,,,,,,,
What is currently called geometry in high school?,18/02/2017,4,t,,,,,,,,,,,,,,,,,,,1,,
"How are students messing up in this Khan Academy surface area problem? (right triangular prism: 3-4-5 triangular base, height of 11)",20/02/2017,2,t,,,,,,,,1,,,,,,,,,,,,,
Project Based Learning (PBL) ideas for secondary math topics,21/02/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
"Which mental model, Webb's DoK, CCSM's Aspects of Rigor, or Bloom's Taxonomy, is most useful?",23/02/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
How to teach to draw graphs of quadratic equations without knowing calculus?,25/02/2017,3,t,,,,1,,,,,,,,,,,,,,,,,
"""Good"" and ""Bad"" student intuitions when teaching and learning mathematics",28/02/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
Student Conjectures without Oracular Professor,28/02/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
What is the pedagogical justification and history for using mnemonics to teach order of operations?,01/03/2017,3,t,,,,,,,,,,,,,,,,,,,,,1
"Teaching new stats students confidence intervals, hypothesis testing, and other general techniques for inference",02/03/2017,4,t,,,,1,,,,1,,,,,,,,,,,,,
How does Project Euler come up with such good problems so rapidly?,03/03/2017,1,t,,,,,,,,,,,,,,,,,,,,,
"Why do some of my, usually international/Indian students, write limits to the left of the integral?",03/03/2017,1,t,,,,,,,,,,,,,,,,,,,,,1
"What are the ""best"" groups to use as examples while learning new concepts in algebra?",06/03/2017,3,t,,,,1,,,,,,,,,,,,,,,,,
What are some strategies to remedy and accommodate dysgraphia?,06/03/2017,2,t,,1,,1,,,,,,,,,,,,,,,,,
Erasing students' work - etiquette/guidelines?,07/03/2017,1,t,,,,,,,,,,,,,,,,,,,,,
Greatest common divisor applications,10/03/2017,6,t,,,,1,,,,,,,,,,,,,,,,,
Literature on student understanding of assumptions,10/03/2017,0,t,,,,,,,,,,,,,,,,,,,,,1
How to catch students from different subjects' interest to math?,12/03/2017,2,t,,1,,1,,,,1,,,,,,,,,,,,,
Moving from discrete probability distributions to continuous ones,14/03/2017,5,t,,,,1,,,,,,,,,,,,,,,,,
Tips for Teaching Math in a Language Foreign to the Teacher,14/03/2017,2,t,,,,1,,,,,,,,,,,,,,,,,
Tutoring a recalcitrant/awkward/exasperating student---special needs?,14/03/2017,4,t,,1,,,,,,1,,1,1,,,,,,,,,,
Grating mathematical phrases---How to correct?,16/03/2017,5,t,,,,,,,,,,,,,,,,,,,,,1
Styles of visualization in geometry,17/03/2017,2,t,,1,,,,,,,,,,,,,,,,,,,
Workshop about ODEs and connected rates of change (A-levels),17/03/2017,3,t,,,,,,,,,,,,,,,,,,1,,1,
calculus without analytic geometry,19/03/2017,1,t,,,,1,,,,,,,,,,,,,,1,,,
Has anybody used Mathematics in Civilization by Resnikoff and Wells or Journey through Genius by Dunham for a history of math class?,20/03/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
Where can I find a comparison of mathematical subjects taught for primary and secondary school around the world?,21/03/2017,0,t,,,,,,,,,,,,,,,,,,,1,,
How to engage low-level students?,21/03/2017,3,t,,,,1,,,,,,,1,,,,,,,,,,
Do electronic calculators inhibit mathematical thinking?,25/03/2017,1,t,,,,,,,,,,,1,,,,,,,,,,
"Mindless use of ""antisimplifications"" such as 1/x+1/y=(x+y)/xy1/x+1/y=(x+y)/xy and 1/2–√=2–√/2",26/03/2017,4,t,,,,,,,,,,,,,,,,,,,1,,
"Looking for a ""Stable"" College Algebra Textbook",28/03/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
Good Examples of Questions to have Students Ponder Over Without Paper,29/03/2017,9,t,,,,,,,,,,,,,,,,,,1,,,
Notebook software for exploring integral approximation with finite sums?,04/04/2017,3,t,,,,,,,,,,,,,,,,,,1,,,
How to respond to “solve this equation” in a basic algebra class,07/04/2017,4,t,,,,1,,,,,,,,,,,,,,,,,1
Resources for undergraduate knot theory,11/04/2017,3,t,,,,,,,,,,,,,,,,,,1,,,
Introducing the concept of variables to kids using analogy,17/04/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
Common misconceptions in high school probability curriculum,18/04/2017,5,t,,,,,,,,1,,,,,,,,,,,,,
How to best explain that the sum of conditional probabilities still sum to 1,20/04/2017,8,t,,,,1,,,,,,,,,,,,,,,,,
What is most motivating way to introduce Fermat's Little Theorem,23/04/2017,4,t,,,,1,,,,,,,,,,,,,,1,,,
How to introduce Wilson's Theorem?,24/04/2017,2,t,,,,1,,,,,,,,,,,,,,,,,
"Apply the inverse operation on both sides, or know the inverse function?",27/04/2017,3,t,,,,,,,,,,,,,,,,,,,,,1
Calling on students by name (who do not volunteer) in math classes,01/05/2017,7,t,,1,,1,,,,,,,,,,,,,,,,,
Is it a good idea to have one or two or three classes on basic logic before teaching εε-δδ in Calculus?,03/05/2017,6,t,,,,1,,,,,,,,,,,,,,,,,
Memorizing Trig Identities,04/05/2017,9,t,,,,,,,,,,,,,,,,,,,1,,
Examples showing necessity and advantage of emperical definition of probability,06/05/2017,2,t,,,,,,,,,,,,,,,,,,,,,1
How can I explain ratio problems without talking about ratio?,07/05/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
"Do ""gateway tests"" work?",09/05/2017,1,t,,,,,,1,,,,,,,,,,,,,,,
Is there a simple real-world problem I can use to motivate a formula for ∑i=1ni∑i=1ni?,09/05/2017,6,t,,,,1,,,,,,,,,,,,,,,,,
Calculus 3 Teaching Demonstration for Community College Teaching Position,09/05/2017,4,t,,,,,,,,,,,,,,,,,,,1,,
Standardized Exam for Statistics?,12/05/2017,3,t,,,,,,1,,,,,,,,,,,,,,,
Is 'estimating' still considered a valuable skill?,13/05/2017,10,t,,,,,,,,1,,,,,,,,,,,1,,
Wording VS mathematical notations,14/05/2017,3,t,,,,,,,,,,,,,,,,,,,,,1
Addressing fundamental math errors,15/05/2017,1,t,,,,1,,,,,1,,,,,,,,,,,,
What is the name of this discipline in mathematics education?,16/05/2017,1,t,,,,,,,,1,,,,,,,,,,,,,1
How to keep passion in students?,17/05/2017,1,t,,,,,,,,,,,1,,,,,,,,,,
How to teach mass center for young people,20/05/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
Which calculus textbook is aligned the most with the CollegeBoard course description?,21/05/2017,0,t,,,,,,,,,,,,,,,,,,1,,,
What's the best way to explain multivariable limit problems to students who are not familiar with ϵ−δϵ−δ proofs?,22/05/2017,4,t,,,,1,,,,,,,,,,,,,,,,,
Constructive refutation of student misconception,25/05/2017,3,t,,,,,,,,1,,,,,,,,,,,,,1
"What is the difference between ""numeracy"" and ""number sense""?",27/05/2017,2,t,,,,,,,,,,,,,,,,,,,,,1
Difference between whole numbers and decimal numbers,27/05/2017,3,t,,,,1,,,,1,,,,,,,,,,,,,
How can I deal with the time pressure of teaching a short course?,29/05/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
How to improve atmosphere in male-dominated courses,07/06/2017,1,t,,,,,,,,,,,,,,,,,,,,,
Is induction or recursion easier to understand?,09/06/2017,3,t,,,,,,,,1,1,,,,,,,,,,,,
Arguments against multiplication by 'stacking',11/06/2017,4,t,,,,1,,,,,,,,,,,,,,,,,
Multiplying two decimals using (camouflaged) binary representation,12/06/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
What do the Common Core Standards expect secondary students to learn about logarithms or the number ee?,13/06/2017,1,t,,,,,,,,,,,,,,,,,,,1,,
"Why should kids learn how to use a compass and straightedge, and not rely on a drawing program?",13/06/2017,11,t,,,,,,,,,,,,,,,,,,,1,,
Textbook search: learning the math required to read the newspaper,16/06/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
Can mathematics be learned by ONLY solving problems?,17/06/2017,10,t,,,,1,,,,,1,,,,,,,,,,,,
what is the standard subdivision or classification of calculus related rates problems?,19/06/2017,0,t,,,,,,,,,,,,,,,,,,,,,1
What are good solar eclipse questions/projects for students?,21/06/2017,3,t,,,,,,,,,,,,,,,,,,1,,,
How much credit to give a short exam question with one error?,27/06/2017,8,t,,,,,,1,,,,,,,,,,,,,,,
"Chat software for ""online office hours""",29/06/2017,3,t,,,,,,,,,,,,,,,,,,1,,,
What is the ULTIMATE Calculus syllabus,30/06/2017,1,t,,,,,,,,,,,,,,,,,,,1,,
How much credit for a single arithmetic mistake?,01/07/2017,7,t,,,,,,1,,,,,,,,,,,,,,,
"Problem ""seeing"" the perimeter of a figure",03/07/2017,1,t,,,,,,,,1,1,,,,,,,,,,,,
Easy and good book on combinatorial problems,03/07/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
Is it to the students' advantage to learn the language of infinitesimals?,03/07/2017,2,t,,,,1,,,,,,,,,,,,,,,1,,
"When are arithmetic operator priorities typically taught in school, in relation to computer programming?",05/07/2017,1,t,,,,,,,,,,,,,,,,,,,1,,
How can I convince my brightest student of Cantor's theory?,09/07/2017,3,t,,1,,1,,,,,,,,,,,,,,,,,
Can number theory help me create equations with nice solutions?,11/07/2017,2,t,,,,1,,,,,,,,,,,,,,,,,
May we permit identities to be established by equivalent equations?,11/07/2017,4,t,,,,,,,,,,,,,,,,,,,,,1
Surrounding a subject and strangling it to death versus concentrating on the main point,13/07/2017,4,t,,,,1,,,,,,,,,,,,,,1,,,
Math for Social justice curriculum,16/07/2017,5,t,,,,1,,,,,,,,,,,,,,,1,,
The Order in Which Arithmetic Operators are Taught,17/07/2017,2,t,,,,,,,,,,,,,,,,,,,1,,
The use of software to formulate problems in multivariable calculus,17/07/2017,3,t,,,,,,,,,,,,,,,,,,1,,,
Mathematics Self-Efficacy Questionnaire,21/07/2017,0,t,,,,,,1,,,,,,,,,,,,,,,
Activities for biology undergraduates taking integral calculus,24/07/2017,5,t,,,,,,,,,,,,,,,,,,,1,,
Drumming up interest in journal-problem-solving and competition prep,24/07/2017,5,t,,,,,,,,,1,,1,,,,,,,,,1,
Should I change my take-home exam policy because of one suspected cheater?,27/07/2017,15,t,,,,,,1,,,,,,,,,,,,,,,
Quantifying arthmetical skill,28/07/2017,0,t,,,,,,1,,,,,,,,,,,,,,,
What are the fundamentals of writing practice questions for early teen students?,28/07/2017,1,t,,,,,,,,,,,,,,,,,,,,,
Are document cameras widely used at college level?,28/07/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
Tutoring Mathematics at University,02/08/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
Is there a base-independent term for numbers written out with decimal/binary points?,02/08/2017,2,t,,,,,,,,,,,,,,,,,,,,,1
"Shanghai math -- what is it, and how good is it?",07/08/2017,6,t,,,,1,,,,,,,,,,,,,,,,,
Teaching Completing the Square,08/08/2017,2,t,,,,1,,,,1,,,,,,,,,,,,,
How to effectively use colors on a whiteboard?,08/08/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
How to use these actions words for subtraction?,09/08/2017,1,t,,,,,,,,,,,,,,,,,,,,,1
"What is ""subtract 4 from 3 times X"" and why?",09/08/2017,2,t,,,,1,,,,1,,,,,,,,,,,,,1
What's the word for addition and subtraction without borrowing or carrying over?,11/08/2017,4,t,,,,,,,,,,,,,,,,,,,,,1
"Functions, Domains, and Ranges in Precalculus",13/08/2017,2,t,,,,1,,,,,,,,,,,,,,,,,
Definition of root of equation/expression,14/08/2017,2,t,,,,,,,,,,,,,,,,,,,,,1
Simple real world examples that violate group axioms,14/08/2017,9,t,,,,1,,,,,,,,,,,,,,,,,
Dealing with Resisting Students,16/08/2017,5,t,,,,1,,,,1,,,,,,,,,,,,,
Electronic devices to replace pencil and paper,16/08/2017,5,t,,,,,,,,,,,,,,,,,,1,,,
Are Proficiency Strands Hierarchical?,21/08/2017,1,t,,,,,,,,,,,,,,,,,,,1,,
"As it is appears here, how many constants do you see in 2x3+y4=5–√2x3+y4=5?",23/08/2017,3,t,,,,,,,,,,,,,,,,,,,,,1
What did math educators think about the transition to widespread classroom use of calculators?,23/08/2017,3,t,,,,,,,,,,,,,,,,,,,,,
Resources for high school teachers about APOS theory,23/08/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
How to teach a weak student?,28/08/2017,4,t,,1,,1,,,,1,,,,,,,,,,,,,
Is there a resource that formally develops the topics of elementary algebra?,29/08/2017,3,t,,,,,,,,,,,,,,,,,,1,,,1
Why are m and b used in the slope-intercept equation of a line?,29/08/2017,3,t,,,,,,,,,,,,,,,,,,,,,1
"Interesting math lesson on integers, Euclid's Elements, polyhedra, prime numbers, non-Euclidean geometry, arithmetic functions or graphs",30/08/2017,2,t,,,,,,,,,,,,,,,,,,,1,,
Content for a two-quarter class on abstract algebra,30/08/2017,4,t,,,,,,,,,,,,,,,,,,,1,,
Can we explain to undergraduates how points make a line?,05/09/2017,7,t,,,,1,,,,1,,,,,,,,,,,,,1
Terminology: degree of coefficient?,06/09/2017,3,t,,,,,,,,,,,,,,,,,,,,,1
Recommendation for an introductory operations research book,07/09/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
How to become a good teacher in the classroom when first starting to teach?,10/09/2017,4,t,,,,1,,,,,,,,,,,,,,,,,
Why do we teach even and odd functions?,11/09/2017,10,t,,,,,,,,,,,,,,,,,,,1,,
Introduction of the power set as a collection of *labels* or *names* for subsets,12/09/2017,0,t,,,,1,,,,,,,,,,,,,,,,,
Assigning TA hours: Professional software implementing Student-project allocation with preferences algorithms,14/09/2017,0,t,,,,,,,,,,,,,,,,,,1,,,
Determining the first digit of the Quotient using hand long division efficiently?,16/09/2017,3,t,,,,1,,,,,,,,,,,,,,,,,
How to explain how to get an end point of a segment from the other end point and it's midpoint?,18/09/2017,4,t,,,,1,,,,1,,,,,,,,,,,,,
Application of perpendicular lines real world,19/09/2017,7,t,,,,1,,,,,,,,,,,,,,,,,
Explaining genus to students,27/09/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
Can't use samsung tablet in class?,27/09/2017,1,t,,,,,,,,,,,,,,,,1,,,,,
Software and techniques for creating short maths animation videos for kids,29/09/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
Continuous evaluation/Participation points,01/10/2017,2,t,,,,,,1,,,,,,,,,,,,,,,
How can we focus students on the various data types in multivariable calculus?,01/10/2017,5,t,,,,1,,,,1,,,,,,,,,,,,,
What does the research say about direct instruction vs. student centered approaches,02/10/2017,4,t,,,,1,,,,,,,,,,,,,,1,,,
Course of action with 13 year old with weak sense of number and operations,02/10/2017,2,t,,,,1,,,,1,,,,,,,,,,,,,
Why bother calculating the inverse of 3 by 3 matrix?,03/10/2017,2,t,,,,,,,,,,,,,,,,,,,1,,
How do you explain straightness to a 5-year-old?,03/10/2017,5,t,,,,1,,,,1,,,,,,,,,,,,,
The sequence of chapters,04/10/2017,4,t,,,,,,,,,,,,,,,,,,,1,,
A question about Vector Analysis problems,04/10/2017,4,t,,,,,,,,,,,,,,,,,,1,,,
Should we finish algebra before starting geometry?,05/10/2017,4,t,,,,,,,,,,,,,,,,,,,1,,
Text book on real analysis for undergrad in statistics,06/10/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
When analytic form of derivatives is preferred over numerical form?,07/10/2017,3,t,,,,,,,,,,,,,,,,,,,1,,
Advice for Community College Interview Statistics Demonstration,08/10/2017,3,t,,,,,,,,,,,,,,,,,,,1,,
Using number theory instead geometry to introduce proof in Basic School?,09/10/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
How cheating on homework affects student questions,11/10/2017,1,t,,,,,,1,,,,,,,,,,,,,,,
"How About MCQs, True/False, and Fill-In-The-Blank Questions in Undergrad-Level Topology, Analysis, And Abstract Algebra Exams?",11/10/2017,1,t,,,,,,1,,,,,,,,,,,,,,,
Monodromy examples for undergraduates,11/10/2017,2,t,,,,1,,,,,,,,,,,,,,,,,
Examples of basic non-commutative rings,14/10/2017,8,t,,,,1,,,,,,,,,,,,,,,,,
Is there any difference between saying that say π≈3.14π≈3.14 and π=3.14(2dp)π=3.14(2dp)?,14/10/2017,4,t,,,,,,,,,,,,,,,,,,,,,1
Reference or term for connected sage-on-the-stage?,16/10/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
"Alternative ways of thinking about the one-variable Riemann integral for elementary calculus,",18/10/2017,2,t,,,,1,,,,,,,,,,,,,,,,,
How to teach multiplication between integers for the first time,21/10/2017,6,t,,,,1,,,,,,,,,,,,,,,,,
Are there any good exercises on point-slope form of a linear equation by itself?,22/10/2017,7,t,,,,,,,,,,,,,,,,,,1,,,
How can I get a better result making math videos with a tablet?,22/10/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
Unique steps leading to a non-unique answer,22/10/2017,7,t,,,,1,,,,,,,,,,,,,,1,,,
Book request: teaching proving and reasoning at an American university,22/10/2017,5,t,,,,,,,,,,,,,,,,,,1,,,
Difficulty with word problem interpretation,25/10/2017,3,t,,,,1,,,,1,,,,,,,,,,,,,
How to design multiple choice questions,27/10/2017,3,t,,,,,,1,,,,,,,,,,,,,,,
"When discussing inverse functions, how can our notation and methods reinforce student understanding?",28/10/2017,3,t,,,,1,,,,,,,,,,,,,,,,,
Tutoring Discrete Mathematics,29/10/2017,1,t,,,,1,,,,,,,,,,,,,,,,,
How do you explain the whole integer and fractions subject to a kid in 6th grade?,30/10/2017,4,t,,,,1,,,,1,,,,,,,,,,,,,
How to teach abstract algebra for the first time?,02/11/2017,3,t,,,,1,,,,,,,,,,,,,,,,,
How to explain Chinese remainder theorem?,03/11/2017,2,t,,,,1,,,,,,,1,,,,,,,,,,
Dissemination of mistakes in international texts such as the IGCSE,03/11/2017,1,t,,,,,,,,,,,,,,,,,,,,,
"Writing Fractions ""Correctly""",03/11/2017,5,t,,,,,,,,,,,,,,,,,,,,,1
Ideas for a 2 weeks project focused in polynomial functions,03/11/2017,6,t,,,,,,,,,,,,,,,,,,,1,,
"""Seeing"" GCD and LCM in Word Problems",04/11/2017,1,t,,,,1,,,,,1,,,,,,,,,,,,
Stating identity is not the same as knowing value,05/11/2017,3,t,,,,1,,,,1,,,,,,,,,,,,,
"Searching activities with ""Find the error"" strategy for learning maths",06/11/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
Why isn't the term *inequation* widely used in English?,06/11/2017,4,t,,,,,,,,,,,,,,,,,,,,,1
Should basic exercises be solved before formulas are introduced?,06/11/2017,2,t,,,,1,,,,,,,,,,,,,,,,,
Applications of notable points and lines of a triangle,08/11/2017,1,t,,,,,,,,,,,,,,,,,,1,,,
Motivation for Fibonacci: Bees,08/11/2017,2,t,1,,,1,,,,,,,,,,,,,,,,,
L'Hopital's Rule: Why do we need it?,08/11/2017,3,t,,,,1,,,,,,,,,,,,,,,,,
Why teach reference angles?,09/11/2017,3,t,,,,,,,,,,,,,,,,,,,1,,
How to teach sum of fractions to students?,13/11/2017,8,t,,,,1,,,,,,,,,,,,,,,,,
Cognitive traps in very early set theory,13/11/2017,8,t,,,,1,,,,1,,,,,,,,,,,,,
Problem based learning (PBL) for pupils with educational difficulties,15/11/2017,2,t,,1,,1,,,,,,,,,,,,,,,,,
Material on tutoring university level math classes,16/11/2017,2,t,,,,,,,,,,,,,,,,,,1,,,
"""Personalized System of Instruction"" (PSI) vs. ""Individually Prescribed Instruction"" (IPI)",20/11/2017,2,t,,,,1,,,,,,,,,,,,,,,,,
What is known about discrimination and difficulty in test questions?,21/11/2017,0,t,,,,,,1,,,,,,,,,,,,,,,
Tasks that encourage argumentation,24/11/2017,3,t,,,,,,,,,,,,,,,,,,1,,,
