ID,Question,Date,Class
599,Recent Graduate becomes a teacher,31/05/2019,CS
600,Is it easy for professors to get academic versions of software from IBM?,03/06/2019,CS
601,"What do A-level students, that have not done GCSE, struggle with?",09/06/2019,CS
602,End of Year Movies For CS Classes,11/06/2019,CS
603,"Shallow, broad and general introduction to programming",12/06/2019,CS
604,Creating Interactive Gnu/Linux shell programming courses,13/06/2019,CS
605,Assignment repositories,14/06/2019,CS
606,How can we determine which students are a good fit for an educational program?,29/06/2019,CS
607,Array or vector? Two dimensional array or matrix?,04/07/2019,CS
608,What is a good introductory language for high school?,09/07/2019,CS
609,Framework vs Vanilla JS for students,16/07/2019,CS
610,Why teach C using scanf without talking about command line arguments?,18/07/2019,CS
611,A real world example for the divide and conquer method,21/07/2019,CS
612,What is the closest pair problem useful for?,31/07/2019,CS
613,Classification of programming exercises,04/08/2019,CS
614,Any relevant research in Motivation?,10/08/2019,CS
615,Abreviation of practical work assignment?,19/08/2019,CS
616,System to validate run time complexity requirements,21/08/2019,CS
617,Interfaces and Greenfoot,26/08/2019,CS
618,Open Source Training,31/08/2019,CS
619,What's the benefit of prohibiting the use of techniques/language constructs that have not been taught?,13/09/2019,CS
620,Hackerrank challenges for a programming course: hide code and show only what is relevant?,14/09/2019,CS
621,what would be a best approach to teach programming to non CS major?,16/09/2019,CS
622,Programming exercise Tagging,17/09/2019,CS
623,methods early in Java - before objects,18/09/2019,CS
624,Teaching data structures with C++: should I go with smart instead of raw pointers?,19/09/2019,CS
625,Software tool as in Bret Victor's demo,22/09/2019,CS
626,Any auto grading site that supports all-testcases-in-one-file (and/or in github)?,23/09/2019,CS
627,Teaching past the  symbology  of a language,25/09/2019,CS
628,Fun way to teach algorithms,28/09/2019,CS
629,"A category to classify expressions, statements and blocks",07/10/2019,CS
630,What are some non-CS concepts that can be defined using BNF notation?,08/10/2019,CS
631,How do you distinguish jargon from normal language in explaining a concept?,24/10/2019,CS
632,Students' confusion over C structure members and structure variables,24/10/2019,CS
633,Analogy to teach beginners the concept of interrupt,29/10/2019,CS
634,Undergraduate Computer Science Projects real life,31/10/2019,CS
635,Platform for annotating students' code assignments,31/10/2019,CS
636,How might I structure an assignment with two  levels ?,01/11/2019,CS
637,Setting up a cloud-server SSH login procedure for a class? (AWS),04/11/2019,CS
638,How do you wow second-year students into saying  bare-metal programming is cool! ?,06/11/2019,CS
639,"How to construct non computer-based, Paper Parsons Problem unplugged",06/11/2019,CS
640,Research On Teaching A Second Programming Language/Paradigm,06/11/2019,CS
641,Languages class in high school,10/11/2019,CS
642,"JavaFX and console-based interfaces, at the CS1 level",10/11/2019,CS
643,Materials on database indexing with examples,12/11/2019,CS
644,Does it make sense to write tutorial when content of the tutorial can be already learned from internet without that tutorial?,15/11/2019,CS
645,How to teach linear programming and reductions?,06/12/2019,CS
646,Would you mentor other people for free/voluntary donations?,07/12/2019,CS
647,"Order of learning formal languages, automata, compilers and parsing",09/12/2019,CS
648,How do you teach when your students have wildly different backgrounds?,13/12/2019,CS
649,What is the best way to teach JavaScript functions to middle schoolers?,19/12/2019,CS
650,Is it worth to learn to make a MD5-hash cracker?,21/12/2019,CS
651,How can we measure proficiency in programming languages?,02/01/2020,CS
652,What are some real life applications of the knapsack problems class?,04/01/2020,CS
653,An Intro to CS course in C++ for CS majors: laying a solid low-level foundation or simple tools and algorithmic thinking?,08/01/2020,CS
654,How can I teach the students a package/module in a computer lab?,14/01/2020,CS
655,What would be your ideal first lecture in a databases course?,14/01/2020,CS
656,What is the CS Analog To Learning One's Multiplication Tables?,15/01/2020,CS
657,Putting feedback comments on source code when grading,16/01/2020,CS
658,Computer Science in the Waldorf curriculum,19/01/2020,CS
659,How to prevent organization/OS students from becoming premature optimizers?,19/01/2020,CS
660,Which are common misconceptions about code execution? How to efficiently debug my student?,24/01/2020,CS
661,An example that compares a computational with a non-computational thinking approach,26/01/2020,CS
662,Robotics Recommendations,09/02/2020,CS
663,Suggested fliers for high school career fair?,10/02/2020,CS
664,Is there a free platform to host coding challenges within a class?,19/02/2020,CS
665,Physical Activity for Objects,21/02/2020,CS
666,Debugging a submission that works well on student's computer but not on my computer,23/02/2020,CS
667,What do programming novices need to know when using MatLab?,25/02/2020,CS
668,Explaining Event-Driven Programming in the context of the Structured Programming Theorem,01/03/2020,CS
669,How can I design online tests and prevent cheating? Pandemic,10/03/2020,CS
670,What evaluation methods can be used that don't involve testing but are adaptable to online courses pandemic,10/03/2020,CS
671,Tools for running classes remotely,10/03/2020,CS
672,Which topics should one cover in teaching a course titled  Artificial Intelligence and Machine Learning ?,17/03/2020,CS
673,Distributed Pair Programming in distance education pandemic,18/03/2020,CS
674,"Training students to give better feedback, when remote teaching due to pandemic",24/03/2020,CS
675,HS Lessons On Modeling Virus Spread,27/03/2020,CS
676,How to limit access to tests on Blackboard?,27/03/2020,CS
677,Counter-Example for Computability,30/03/2020,CS
678,Advising college students about whether to take classes pass/fail due to pandemic,31/03/2020,CS
679,Online classes: Any good ways to avoid having too many interruptions but at the same time not leaving anyone behind due to the pandemic?,07/04/2020,CS
680,Seeking advice on mentoring without participating in exam cheating in the new chaotic environment of the pandemic,09/04/2020,CS
681,What  process instruction  should instructors give students when assigning a team project?,19/04/2020,CS
682,"Looking for a simple, offline, portable, lightweight IDE for C++ with a compiler and debugger",20/04/2020,CS
683,Is it OK to use  informal  systems such as TeamSpeak or Discord to support classes due to pandemic?,22/04/2020,CS
684,"A beginner example of xor, that is functional (does not switch to procedural)",23/04/2020,CS
685,(FOSS) Application to show/explain compilation?,23/04/2020,CS
686,What language best prepares a high school student for a STEM undergraduate major?,04/05/2020,CS
687,How do I teach problem solving and logical thinking to students of age group 12-18yrs through online session,13/05/2020,CS
688,Computer Science Theory with Haskell?,13/05/2020,CS
689,Is it necessary or advisable to teach text-based input and output in a non-CS intro programming course?,13/05/2020,CS
690,How to design a cloze test for a programming language?,15/05/2020,CS
691,Coding assignments for algorithms and data structures?,27/05/2020,CS
692,Any website or textbook with problems/solutions for Computer Science Theory?,30/05/2020,CS
693,Is there a word for mathematics/physics/data-analytics/....?,03/06/2020,CS
694,In what branch of science does technology belong?,04/06/2020,CS
695,Are there any recommended tools for teaching syntax and grammar of programming languages?,08/06/2020,CS
696,How to embed TIC-80 into Computer science 101 course,26/06/2020,CS
697,Problem book for Haskell course,15/07/2020,CS
698,Teaching an absolute beginners class Operating Systems with Rust,16/07/2020,CS
699,What to teach in an Advanced Computer Networking course?,22/07/2020,CS
700,Creating a pre-recorded lecture,27/07/2020,CS
701,Is there a Java library for testing command line applications?,31/07/2020,CS
702,Any good resource for introducing kids to programming using Python's Turtle Graphics?,31/07/2020,CS
703,Dataset colection of weighted graphs,05/08/2020,CS
704,Jackson based IDE for programming,09/08/2020,CS
705,Concept of variable,10/08/2020,CS
706,Is CS50 AP available for new teachers for 2020-2021?,12/08/2020,CS
707,Items on grading rubric for a coding assignment,17/08/2020,CS
708,Grading source code in an online environment,17/08/2020,CS
709,Creating a rubric for computer arithmetic,19/08/2020,CS
710,Where can I find high-quality editable slides for teaching git?,20/08/2020,CS
711,Teaching in class and online cohorts CS pandemic,22/08/2020,CS
712,KANBAN materials,28/08/2020,CS
713,"When mentoring individuals, teach clean coding and simple/effective thinking or let them do it their way?",31/08/2020,CS
714,Looking for a text book on object-oriented concepts and programming,01/09/2020,CS
715,"Are there problem sets for trace table problems? If not, what are some good topics to cover?",04/09/2020,CS
716,Ways to imagine a computer program for a student without photographic visualisation,05/09/2020,CS
717,relationship between ACM curriculum guidelines from 2013 and computing curricula 2020,07/09/2020,CS
718,Looking for good Master Theorem real world examples,10/09/2020,CS
719,How to share solutions in a way they won't get uploaded,10/09/2020,CS
720,What would be a good project for teaching big program concepts?,14/09/2020,CS
721,"Student not understanding explanation the 1st, 2nd... and 8th time",17/09/2020,CS
722,How useful is English (pseudocode and documentation) in aiding understanding?,17/09/2020,CS
723,Any materials on fractional/quotient languages?,18/09/2020,CS
724,What's a good example of a static factory method returning instances of subclasses?,24/09/2020,CS
725,First Time Learning Non-Linear Data Structures,25/09/2020,CS
726,Looking for a blog article on the UI/UX design of an interactive coding interface like Khan Academy's,10/10/2020,CS
727,Feedback request: an assignment on programming a research paper,12/10/2020,CS
728,REPL environment for teacher assignments,19/10/2020,CS
729,CS educators collaboration communities?,27/10/2020,CS
730,Alternative to Piazza for online Q&A,03/11/2020,CS
731,Why is computer science hard?,16/11/2020,CS
732,"Teaching (2,3) and AVL Trees: information in internal nodes or in external nodes?",27/11/2020,CS
733,Logo course scaffolding,01/12/2020,CS
734,Concern over plagiarism in designing online course,10/12/2020,CS
735,Are there any conventions for writing logic statements for combinations of logic gate functions?,12/12/2020,CS
736,What do you mean its plagiarism? Its from the docs! ,12/12/2020,CS
737,What is a real-world (production-code) example of a function having default arguments?,18/12/2020,CS
738,Cormen's  Algorithms  pre-requisites,18/12/2020,CS
739,"What are good, practical labs and activities for loops?",21/12/2020,CS
740,Subtopics to cover within Karnaugh Maps,04/01/2021,CS
741,Ways to do live polling (aka ConcepTests) during class,05/01/2021,CS
742,Algorithm Design challenges,05/01/2021,CS
743,Realistic task for teaching bit operations,10/01/2021,CS
744,How to advise change in a curriculum as a new teacher during the pandemic,16/01/2021,CS
745,Common questions students may ask when they learn OOP?,19/01/2021,CS
746,History of educational programming languages,19/01/2021,CS
747,Using autograding (Github Classroom) - pitfalls and best practices?,24/01/2021,CS
748,Teach smart pointers to beginners with no knowlege of OOP or templates analogy,24/01/2021,CS
749,Number of preps for networking and programming courses,02/02/2021,CS
750,What are some fun projects for non-CS majors?,03/02/2021,CS
751,Order of parameter / variables on stack in C,04/02/2021,CS
752,Curriculum for a primary school learner,08/02/2021,CS
753,Trying out the concepts of machine learning during teaching from home pandemic,11/02/2021,CS
754,introduction materials to the actor model?,11/02/2021,CS
755,How should Parsons Problems be graded?,17/02/2021,CS
756,is there any good specific pedagogy research to teach spreadsheets?,21/02/2021,CS
757,games for teaching html,27/02/2021,CS
758,How to use CSS diner to teach beginners in CSS,27/02/2021,CS
759,Have databases disappeared at GCSE?,10/03/2021,CS
760,Simple use case for self-modifying programs analogy,14/03/2021,CS
761,Reduce snap!'s features,17/03/2021,CS
762,How necessary is UML for a course in object programming patterns?,20/03/2021,CS
763,Services-centered design,11/04/2021,CS
764,How can I credit to sources I'll use for my paid or free video tutorials on YouTube or Udemy?,12/04/2021,CS
765,Do you know online courses with Haskell for Theory of Computation?,14/04/2021,CS
766,How many of  The Seven Laws of Teaching  are still relevant for teaching computer science today?,17/04/2021,CS
767,First programming Language : C or Python?,22/04/2021,CS
768,Why might be the benefits of teaching data structure course in Python?,26/04/2021,CS
769,Open Source Mentoring Programmes for Formal Education,27/04/2021,CS
770,Decorators in Python,28/04/2021,CS
771,COBOL programmers,29/04/2021,CS
772,MERN - Which textbook to use?,01/05/2021,CS
773,Growth of Early CS Students,02/05/2021,CS
774,"Resources for flowchart programming for young, new programmers?",07/05/2021,CS
775,Divide and conquer for subset sum problem,20/05/2021,CS
776,Greedy Algorithm Approach real world,21/05/2021,CS
777,Free online AI/ML demos for grade 8-10 students,30/05/2021,CS
778,Is Cyber-Security E-safety or not,02/06/2021,CS
779,Real world examples for the difference between null and zero?,17/06/2021,CS
780,Adding MS excel in curriculum for highschool students,17/06/2021,CS
781,Is there a free to use validated Computer Science concept inventory?,18/06/2021,CS
782,Good resources to teach Natural Language Processing,21/06/2021,CS
783,Reduce Grading & Improve Assignments,29/06/2021,CS
784,Which websites provide real-time updated Jupyter notebooks for Python teaching?,07/07/2021,CS
785,Example of amortized analysis of algorithms rather than data structures,11/07/2021,CS
786,Recommended CS books for high school,12/07/2021,CS
787,What is a good textbook for teaching Web Programming?,29/07/2021,CS
788,Do any Computer Engineering programs have a required digital logic course that comes before the first course in programming,16/08/2021,CS
789,Perspective on assignments,17/08/2021,CS
790,Teaching algorithmic thinking without a programming language,25/08/2021,CS
791,Finding  Filler  projects for students,25/08/2021,CS
792,Computer Graphics Textbook Recommendations,03/09/2021,CS
793,What are the real-life use cases for for fractional/quotient regular languages?,29/09/2021,CS
794,"Resource recommendation for teaching the command line, file system for high school student",09/10/2021,CS
795,Sources on the Topic Source Code Security/Authenticity,13/10/2021,CS
796,Object Oriented Software Engineering Project,20/10/2021,CS
797,Help identifying a '90s CYOA-style book with BASIC code listings,02/11/2021,CS
798,What are some good conditional branching excercise scenarios?,20/11/2021,CS
799,How to decide which methods are responsibility of which classes,24/11/2021,CS
800,Regarding state diagrams - (different levels),24/11/2021,CS
801,Graph / Tree Visualization Software,05/12/2021,CS
802,How to teach programming to underprivilege kids who are not having access to laptop?,09/12/2021,CS
803,Object patterns student presentation format,13/12/2021,CS
804,For and while loops examples for 12-13 years old class,16/12/2021,CS
805,Teaching with changing dependencies,18/12/2021,CS
806,How to respond to the two-handed approach to swapping,04/01/2022,CS
807,Advise needed: GameDev Course Outline,08/01/2022,CS
808,Driven to Abstraction,10/01/2022,CS
809,Any technology for full body video with slides in Zoom pandemic,11/01/2022,CS
810,Grading programming exercises: the quality vs. originality paradox,11/01/2022,CS
811,Do you include coding assignments in an intro to complexity and computation course?,15/01/2022,CS
812,Practical assignments Hardware/Server projects,30/01/2022,CS
813,What sort of programming assignments do you give in an FP course?,01/02/2022,CS
814,What to tell students that plagiarised their programming assignment?,02/02/2022,CS
815,Data science tutoring without just doing my student's homework,02/02/2022,CS
816,Problems with students stuck in web-browser and what to do about it,16/02/2022,CS
817,ML Andrew Ng course as practical university course,27/02/2022,CS
818,Why are block graphics being taught? (either  instead of ncurses  or  at all ),09/03/2022,CS
819,"APCSA 2015 Q3, grading criteria",25/03/2022,CS
820,What things aren't obvious about reading documentation? How can I explain to others how to do it?,01/04/2022,CS
821,What effect will AI tools like Codex and CoPilot have on teaching programming (and admissions),07/04/2022,CS
822,Multithreading in Programming modules,16/04/2022,CS
823,How to teach algorithms in an interactive way,18/04/2022,CS
824,"In programming courses, should homework grading be the job of the TA or the professor?",27/04/2022,CS
825,Python Code Sharing Forum,02/05/2022,CS
826,Redesigning a C++ Course,11/05/2022,CS
827,"If a program does not compile, should it get a mark of zero?",12/05/2022,CS
828,Is the choice of the first programming language relevant?,14/05/2022,CS
829,Accounting and potential methods in amortized analysis,30/05/2022,CS
830,"What is the technology (or combination of technologies) one would use to create slides, animations and live coding for lectures?",07/06/2022,CS
831,What are some suitable persistence services for storing programming tasks?,19/06/2022,CS
832,Can we do anything to help CS students from 3rd world under developed countries?,23/06/2022,CS
833,How to approach students who submit their work which consists of frowned upon tools?,04/07/2022,CS
834,How can I incentivize students to test their applications with end users?,26/07/2022,CS
835,"To introduce quantum computing, what metaphors/actual examples of 2-state systems work for teaching, and what misconceptions might they introduce?",02/08/2022,CS
836,First Time teaching 6th & 7th grade computer science,21/08/2022,CS
837,"Searching for algorithms using array, stack, queue, List or no data structure solving interesting problems",04/09/2022,CS
838,Teaching ideas for string algorithm?,08/09/2022,CS
839,Android Course: XML or Compose?,12/09/2022,CS
840,Are there any tools for embedding editable code samples in Canvas?,20/09/2022,CS
841,Private tutoring middle school and high school students: most common requests,22/09/2022,CS
842,Feedback: Mobile Development Course Outline,27/09/2022,CS
843,Are there some strategies to automatically generate assessment questions and answers?,14/10/2022,CS
844,Seek for textbook suggestions of introductory software engineering,29/10/2022,CS
845,"The algebraic aspect of computation, or how to make them understand the usefulness and the meaning of variables",12/11/2022,CS
846,Software for runnable algorithmic organigrams,25/11/2022,CS
847,Unplugged Project Idea,02/12/2022,CS
848,Book / Course Teaching Basic Logic Circuits Via Minecraft Redstone To A Young Target Demographic,20/12/2022,CS
849,Sourcing PC parts for a hands-on workshop,21/12/2022,CS
850,Why visual program design?,26/12/2022,CS
851,Why do we want small-o and small-omega?,01/02/2023,CS
852,How does the ability to solve a new problem come to a person?,08/02/2023,CS
853,What are ahaslides.com alternatives for interactive polls during a lecture?,10/02/2023,CS
854,Is there an online drag-and-drop interactive sort simulator?,13/02/2023,CS
855,How to design an assignment on applications of Formal Verification?,07/03/2023,CS
856,What is a motivating example for a cyclic linked list?,22/03/2023,CS
857,What is an example of class inheritance in every-day life which is easy to write in an object-oriented language?,27/03/2023,CS
858,Computer literacy textbook for first years students in higher education,30/03/2023,CS
859,How can we tailor a large language model for educational purposes by incorporating instructional and pedagogical-specific skills and knowledge?,30/03/2023,CS
860,How can I teach socket programming?,06/04/2023,CS
861,Theory of Computing project topics,19/04/2023,CS
862,Resource for short jQuery additions to websites,25/04/2023,CS
863,Parent class variable pointing to Child class,02/05/2023,CS
864,Suspicious activity in GitHub Classroom,08/05/2023,CS
865,Is GitHub Copilot constantly training on private data?,13/05/2023,CS
866,How can I unit test a class in a .cs file that is uploaded or otherwise provided to me?,16/05/2023,CS
867,When people program with GUIs in a Go-To type fashion?,18/05/2023,CS
868,Any experience/resources on teaching computer science theory with a practical approach?,23/05/2023,CS
869,Teaching state transition diagrams to visually impaired (blind) students,25/05/2023,CS
870,What are some teaching examples for a lesson on off-by-one errors which do not involve a for-loop or array indexing in real world?,26/05/2023,CS
871,Big Data Analytics for Policy Making with No Math inside,26/05/2023,CS
872,What is a real-world example of a for-loop?,28/05/2023,CS
873,What is a real world musical application of linked lists?,28/05/2023,CS
874,Non-native English speakers struggle to come up with decent variable names and function names,29/05/2023,CS
875,What Informal Description Might Help Beginning Students Understand Python's `str.strip()` method?,06/06/2023,CS
876,"How would you define the word  render  in the vocabulary list, or define  render  for a text/exam, for a course on computer science?",06/06/2023,CS
877,Use codewars in class,10/06/2023,CS
878,Good example for a live optimisation exercise,29/06/2023,CS
879,Designing of code kata focused on _deleting_ code as a primary goal,11/07/2023,CS
880,A video lecture series which explains the modern linux memory management subsystem in detail with code walk through,24/07/2023,CS
881,How to teach hardware-software integration to new developers?,08/08/2023,CS
882,Style guide for short comments?,04/10/2023,CS
883,Could anyone test and criticize my automaton simulator?,21/10/2023,CS
884,Simulator or game to teach operating system principles,29/10/2023,CS
885,How to teach Godel's incompleteness Theorems?,02/11/2023,CS
886,Where can I find some artistically drawn tables demonstrating how a string of text can be stored in ASCII encoding?,04/11/2023,CS
887,"The answers to  Why Are There So Many Programming Languages?  for high school students, not too pedantic",05/11/2023,CS
888,Should a student be allowed to try to answer a question only a few times?,06/11/2023,CS
889,Is there an array-like data type in Java that can cope with generic types better than the built-in array?,19/11/2023,CS
890,"When teaching Java, should I teach try-catch from the outset?",19/11/2023,CS
891,Coding exercises that test memory safety,27/11/2023,CS
892,Teaching a coding language in an interactive way for a school club,06/12/2023,CS
893,"How do I get students to look at course materials, rather than google?",18/12/2023,CS
894,How do I use a playground to clone and modify demos from a github repo?,26/12/2023,CS
895,How to teach algorithm performances can be measured as?,15/01/2024,CS
896,Seeking Effective Examples to Teach OOP Concepts Beyond Common Analogies,16/01/2024,CS
897,teaching javascript functions,27/01/2024,CS
898,Reference Request: Study on the connection between Abstraction/Theory abilities and Software Engineering Skills,29/01/2024,CS
899,Examples of very easy approximation algorithms,01/02/2024,CS
900,Introduction to product type: motivation and examples,10/02/2024,CS
901,"Navigating New Challenges in CS Education (AI, COVID, Motivations, Grades, Exercices...)",26/02/2024,CS
902,How to present data structure concepts effectively to a blind student?,02/03/2024,CS
903,What strategies can be implemented to prevent students from cheating while completing online assignments?,16/03/2024,CS
904,How long would it take an average theoretical computer scientist to learn Python to prepare for learning machine learning?,17/03/2024,CS
905,MOSS flags boilerplate code as similar in some pairs but not flagged in other pairs,22/03/2024,CS
906,Are jUnit or TestNG simple enough for undergraduates to apply in a matter of weeks? What alternative?,23/03/2024,CS
907,Best beginner language for a basic course,10/04/2024,CS
908,Resources/material for developing a course on assembly programming,10/04/2024,CS
909,How would you explain to a layman what the parser (the part of the compiler or intepreter) is?,30/04/2024,CS
910,In teaching introductory databases to graduates and undergraduates how would you differentiate in exams/assignments?,27/05/2024,CS
911,"Automating grading of projects with OOP and unit tests, but without imposing rigid design requirements",10/06/2024,CS
912,How to prevent students from using AI?,09/08/2024,CS
913,Hands-on task to demystifying AI for high schooler,15/08/2024,CS
914,"Immediate feedback in Gradescope, without gaming",22/08/2024,CS
915,Using IDEs with built-in AI code assistance for introductory courses,03/09/2024,CS
916,What are the ideal textbooks and other resources to use when teaching Internet of things to Undergraduates?,07/09/2024,CS
917,Ideas for exercise in parsing and compilers?,06/10/2024,CS
918,How important is relational algebra in 2024?,23/10/2024,CS
919,How can I teach Functional Programming and Verification,15/11/2024,CS
920,"How is this possible - code submission with multiple syntax errors, but otherwise works?",18/11/2024,CS
921,Didactic tool to play with deterministic and nondeterministic finite automata,11/12/2024,CS
922,Uncomputability and Uncountability,29/12/2024,CS
923,Equivalent of PISA study for standardised assessment of skills on computational thinking and programming?,06/11/2017,CS
924,The Undergraduate Responsibility Gradient,02/01/2017,maths
925,Solvability of Systems of Diophantine Equations using Modular Reasoning,03/01/2017,maths
926,Looking for examples from the MCMC family of ideas,03/01/2017,maths
927,Good Textbook for combined Beginning and Intermediate Algebra Course,04/01/2017,maths
928, Sigma Notation  vs.  Summation Notation ,04/01/2017,maths
929,Names for laws involving implication and/or exponentiation,06/01/2017,maths
930,Resources for Inquiry-based Projects with Undergraduates,16/01/2017,maths
931, A  or  The  Cartesian plane?,20/01/2017,maths
932,Number theory for self-study students: books and computer languages,20/01/2017,maths
933,Applying inverse trigonometric functions,26/01/2017,maths
934,Using Substitution in place of the balance model,27/01/2017,maths
935,topics for an undergraduate Math seminar,30/01/2017,maths
936,Should I teach a subject I don't like?,08/02/2017,maths
937,Animation of graphing a function,09/02/2017,maths
938,Best way to find out what math topics a person struggles with when tutoring,15/02/2017,maths
939,Motivation in School,16/02/2017,maths
940,What is currently called geometry in high school?,18/02/2017,maths
941,"How are students messing up in this Khan Academy surface area problem? (right triangular prism: 3-4-5 triangular base, height of 11)",20/02/2017,maths
942,Project Based Learning (PBL) ideas for secondary math topics,21/02/2017,maths
943,"Which mental model, Webb's DoK, CCSM's Aspects of Rigor, or Bloom's Taxonomy, is most useful?",23/02/2017,maths
944,How to teach to draw graphs of quadratic equations without knowing calculus?,25/02/2017,maths
945, Good  and  Bad  student intuitions when teaching and learning mathematics,28/02/2017,maths
946,Student Conjectures without Oracular Professor,28/02/2017,maths
947,What is the pedagogical justification and history for using mnemonics to teach order of operations?,01/03/2017,maths
948,"Teaching new stats students confidence intervals, hypothesis testing, and other general techniques for inference",02/03/2017,maths
949,How does Project Euler come up with such good problems so rapidly?,03/03/2017,maths
950,"Why do some of my, usually international/Indian students, write limits to the left of the integral?",03/03/2017,maths
951,What are the  best  groups to use as examples while learning new concepts in algebra?,06/03/2017,maths
952,What are some strategies to remedy and accommodate dysgraphia?,06/03/2017,maths
953,Erasing students' work - etiquette/guidelines?,07/03/2017,maths
954,Greatest common divisor applications,10/03/2017,maths
955,Literature on student understanding of assumptions,10/03/2017,maths
956,How to catch students from different subjects' interest to math?,12/03/2017,maths
957,Moving from discrete probability distributions to continuous ones,14/03/2017,maths
958,Tips for Teaching Math in a Language Foreign to the Teacher,14/03/2017,maths
959,Tutoring a recalcitrant/awkward/exasperating student---special needs?,14/03/2017,maths
960,Grating mathematical phrases---How to correct?,16/03/2017,maths
961,Styles of visualization in geometry,17/03/2017,maths
962,Workshop about ODEs and connected rates of change (A-levels),17/03/2017,maths
963,calculus without analytic geometry,19/03/2017,maths
964,Has anybody used Mathematics in Civilization by Resnikoff and Wells or Journey through Genius by Dunham for a history of math class?,20/03/2017,maths
965,Where can I find a comparison of mathematical subjects taught for primary and secondary school around the world?,21/03/2017,maths
966,How to engage low-level students?,21/03/2017,maths
967,Do electronic calculators inhibit mathematical thinking?,25/03/2017,maths
968,Mindless use of  antisimplifications,26/03/2017,maths
969,Looking for a  Stable  College Algebra Textbook,28/03/2017,maths
970,Good Examples of Questions to have Students Ponder Over Without Paper,29/03/2017,maths
971,Notebook software for exploring integral approximation with finite sums?,04/04/2017,maths
972,How to respond to  solve this equation  in a basic algebra class,07/04/2017,maths
973,Resources for undergraduate knot theory,11/04/2017,maths
974,Introducing the concept of variables to kids using analogy,17/04/2017,maths
975,Common misconceptions in high school probability curriculum,18/04/2017,maths
976,How to best explain that the sum of conditional probabilities still sum to 1,20/04/2017,maths
977,What is most motivating way to introduce Fermat's Little Theorem,23/04/2017,maths
978,How to introduce Wilson's Theorem?,24/04/2017,maths
979,"Apply the inverse operation on both sides, or know the inverse function?",27/04/2017,maths
980,Calling on students by name (who do not volunteer) in math classes,01/05/2017,maths
981,Is it a good idea to have one or two or three classes on basic logic before teaching in Calculus?,03/05/2017,maths
982,Memorizing Trig Identities,04/05/2017,maths
983,Examples showing necessity and advantage of emperical definition of probability,06/05/2017,maths
984,How can I explain ratio problems without talking about ratio?,07/05/2017,maths
985,Do  gateway tests  work?,09/05/2017,maths
986,Is there a simple real-world problem I can use to motivate a formula for,09/05/2017,maths
987,Calculus 3 Teaching Demonstration for Community College Teaching Position,09/05/2017,maths
988,Standardized Exam for Statistics?,12/05/2017,maths
989,Is 'estimating' still considered a valuable skill?,13/05/2017,maths
990,Wording VS mathematical notations,14/05/2017,maths
991,Addressing fundamental math errors,15/05/2017,maths
992,What is the name of this discipline in mathematics education?,16/05/2017,maths
993,How to keep passion in students?,17/05/2017,maths
994,How to teach mass center for young people,20/05/2017,maths
995,Which calculus textbook is aligned the most with the CollegeBoard course description?,21/05/2017,maths
996,What's the best way to explain multivariable limit problems to students who are not familiar with proofs?,22/05/2017,maths
997,Constructive refutation of student misconception,25/05/2017,maths
998,What is the difference between  numeracy  and  number sense ?,27/05/2017,maths
999,Difference between whole numbers and decimal numbers,27/05/2017,maths
1000,How can I deal with the time pressure of teaching a short course?,29/05/2017,maths
1001,How to improve atmosphere in male-dominated courses,07/06/2017,maths
1002,Is induction or recursion easier to understand?,09/06/2017,maths
1003,Arguments against multiplication by 'stacking',11/06/2017,maths
1004,Multiplying two decimals using (camouflaged) binary representation,12/06/2017,maths
1005,What do the Common Core Standards expect secondary students to learn about logarithms or the number?,13/06/2017,maths
1006,"Why should kids learn how to use a compass and straightedge, and not rely on a drawing program?",13/06/2017,maths
1007,Textbook search: learning the math required to read the newspaper,16/06/2017,maths
1008,Can mathematics be learned by ONLY solving problems?,17/06/2017,maths
1009,what is the standard subdivision or classification of calculus related rates problems?,19/06/2017,maths
1010,What are good solar eclipse questions/projects for students?,21/06/2017,maths
1011,How much credit to give a short exam question with one error?,27/06/2017,maths
1012,Chat software for  online office hours ,29/06/2017,maths
1013,What is the ULTIMATE Calculus syllabus,30/06/2017,maths
1014,How much credit for a single arithmetic mistake?,01/07/2017,maths
1015,Problem  seeing  the perimeter of a figure,03/07/2017,maths
1016,Easy and good book on combinatorial problems,03/07/2017,maths
1017,Is it to the students' advantage to learn the language of infinitesimals?,03/07/2017,maths
1018,"When are arithmetic operator priorities typically taught in school, in relation to computer programming?",05/07/2017,maths
1019,How can I convince my brightest student of Cantor's theory?,09/07/2017,maths
1020,Can number theory help me create equations with nice solutions?,11/07/2017,maths
1021,May we permit identities to be established by equivalent equations?,11/07/2017,maths
1022,Surrounding a subject and strangling it to death versus concentrating on the main point,13/07/2017,maths
1023,Math for Social justice curriculum,16/07/2017,maths
1024,The Order in Which Arithmetic Operators are Taught,17/07/2017,maths
1025,The use of software to formulate problems in multivariable calculus,17/07/2017,maths
1026,Mathematics Self-Efficacy Questionnaire,21/07/2017,maths
1027,Activities for biology undergraduates taking integral calculus,24/07/2017,maths
1028,Drumming up interest in journal-problem-solving and competition prep,24/07/2017,maths
1029,Should I change my take-home exam policy because of one suspected cheater?,27/07/2017,maths
1030,Quantifying arthmetical skill,28/07/2017,maths
1031,What are the fundamentals of writing practice questions for early teen students?,28/07/2017,maths
1032,Are document cameras widely used at college level?,28/07/2017,maths
